ID,FK_ID,ChildNodeID,value
72815,11372,10866,2
72816,11372,12167,1
72817,11372,10032,27
72818,11372,10144,3
72819,11372,10163,3
72820,11372,10316,1
72821,11372,10070,1
72822,11372,10264,1
72823,11372,10007,5
72824,11373,10379,100
72825,11374,10281,9
72826,11374,10383,91
72827,11375,10022,30
72828,11375,10177,3
72829,11375,11276,10
72830,11375,10019,7
72831,11375,10008,20
72832,11375,10032,30
72833,11376,10173,1
72834,11376,11972,2
72835,11376,11223,1
72836,11376,10657,2
72837,11376,10143,2
72838,11376,10028,2
72839,11376,11121,2
72840,11376,11971,9
72841,11376,10022,8
72842,11376,10019,12
72843,11376,10008,3
72844,11376,10057,3
72845,11376,11276,5
72846,11376,10147,2
72847,11376,10032,18
72848,11376,10144,3
72849,11376,10163,2
72850,11376,10070,1
72851,11376,10264,1
72852,11376,10007,2
72853,11377,10008,41
72854,11377,10032,55
72855,11377,10177,4
72856,11378,10028,2
72857,11378,11972,1
72858,11378,10258,1
72859,11378,10657,3
72860,11378,10009,3
72861,11378,11121,2
72862,11378,11971,10
72863,11378,10014,2
72864,11378,10022,8
72865,11378,10019,8
72866,11378,10008,3
72867,11378,10161,1
72868,11378,10057,3
72869,11378,10866,3
72870,11378,11276,7
72871,11378,10147,2
72872,11378,10032,17
72873,11378,10144,2
72874,11378,10163,1
72875,11378,10070,1
72876,11378,10253,2
72877,11378,10007,2
72878,11379,10379,100
72879,11380,10281,100
72880,11381,10446,2
72881,11381,10383,97
72882,11381,10323,1
72883,11382,10446,100
72884,11383,10282,32
72885,11383,10279,68
72886,11384,10380,3
72887,11384,10383,93
72888,11384,10323,2
72889,11384,10322,2
72890,11385,10322,100
72891,11386,10007,8
72892,11386,10019,2
72893,11386,11276,8
72894,11386,10032,31
72895,11386,10163,9
72896,11386,10008,11
72897,11386,10177,1
72898,11386,10022,23
72899,11386,10161,7
72900,11387,10143,1
72901,11387,11972,2
72902,11387,10258,2
72903,11387,10657,2
72904,11387,10031,2
72905,11387,10173,1
72906,11387,10028,3
72907,11387,10006,1
72908,11387,11121,1
72909,11387,11971,5
72910,11387,10022,6
72911,11387,10019,10
72912,11387,10008,3
72913,11387,10161,1
72914,11387,10057,2
72915,11387,10866,1
72916,11387,11276,5
72917,11387,10147,2
72918,11387,10032,19
72919,11387,10144,3
72920,11387,10163,2
72921,11387,10070,1
72922,11387,10264,1
72923,11387,10007,4
72924,11387,10122,3
72925,11388,10282,100
72926,11389,10281,100
72927,11390,10283,73
72928,11390,10328,5
72929,11390,10383,6
72930,11390,10362,16
72931,11391,10279,100
72932,11392,10290,23
72933,11392,10430,14
72934,11392,10279,11
72935,11392,10436,9
72936,11392,10332,4
72937,11392,10429,12
72938,11392,10330,7
72939,11392,10278,21
72940,11393,10430,6
72941,11393,10281,4
72942,11393,10323,1
72943,11393,10432,3
72944,11393,10292,5
72945,11393,10328,1
72946,11393,10431,13
72947,11393,10362,3
72948,11393,10383,29
72949,11393,10283,34
72950,11394,10430,48
