Z_PK,Z_ENT,Z_OPT,ZATTRS,ZISHOTSPOT,ZISKNOWNGOOD,ZISLOWINTERNETDL,ZISLOWINTERNETUL,ZKIND,ZWASLASTFAILED,ZFIRSTTIMESTAMP,ZOVERALLSTAYMEAN,ZOVERALLSTAYVAR,ZTIMESTAMP,ZVELO,ZIDENTIFIER,ZSERVICE,ZNETSIGNATURE
22,10,29,259,,1,,,2,,606715200,60.81591275334358,3462.6212299132553,607406400,0.0,Carrier-193436718,,b'c1dc6fe5111c8dc4-3e8d881'
23,10,41,259,,1,,,2,,606715200,11.18943499667304,310.54317806604274,608616000,0.0,Carrier-218629823,,b'c1dc6fe5111c8dc4-3e8d881'
24,10,30,259,,1,,,2,,606801600,63.30779502391815,4808.602809372033,607752000,0.0,Carrier-18934280,,b'c1dc6fe5111c8dc4-3e8d881'
25,10,24,259,,1,,,2,,606801600,642.6888915300369,822503.3976713398,606801600,0.0,Carrier-17175043,,b'c1dc6fe5111c8dc4-3e8d881'
26,10,38,259,,1,,,2,,606888000,71.04372636296533,34539.379841628215,608616000,0.0,Carrier-18004483,,b'c1dc6fe5111c8dc4-3e8d881'
27,10,22,259,,1,,,2,,606974400,0.0,0.0,606974400,0.0,Carrier-218631395,,b'c1dc6fe5111c8dc4-3e8d881'
28,10,28,259,,1,,,2,,606974400,4.206845164299011,43.179045078121256,608356800,0.0,Carrier-17143043,,b'c1dc6fe5111c8dc4-3e8d881'
29,10,24,259,,1,,,2,,606974400,5.46104363600413,74.1992096922454,608356800,0.0,Carrier-17142531,,b'c1dc6fe5111c8dc4-3e8d881'
30,10,22,259,,1,,,2,,606974400,0.0,0.0,606974400,0.0,Carrier-17144578,,b'c1dc6fe5111c8dc4-3e8d881'
31,10,23,259,0.0,1,,,1,,607233600,52.21304359436035,5742.377181692667,607233600,0.0,Wemo.Mini.873-c4:41:1e:58:31:20,,b'\xeaT^X\xad\xa6\n=\xb9\xa7\x91\x16\t\x810\x1b\xbaE\x1a\x08\x00\x00\x00\x00'
32,10,18,259,,1,,,2,,607320000,0.0,0.0,607320000,0.0,Carrier-14091,,b'c1dc6fe5111c8dc4-3e8d881'
