item_pid,audio_format,bit_rate,codec_type,codec_subtype,data_kind,data_url,duration,eq_preset,format,gapless_heuristic_info,gapless_encoding_delay,gapless_encoding_drain,gapless_last_frame_resynch,has_video,relative_volume,sample_rate,start_time_ms,stop_time_ms,volume_normalization_energy,progression_direction
3300013925658268607,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268608,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268609,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268610,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268611,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268612,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268613,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268614,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268615,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268616,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3431630958729038012,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3843645699961074112,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3941750896657481070,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4022885569669000922,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4077364913164973727,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4195528865379591282,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348074,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348075,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348076,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348077,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348078,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348079,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
4334992639745348080,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
