ID,timestamp,AvgBacklightNits,AvgLogicalBrightnessNits,BlueLightReductionOffTime,BlueLightReductionOnTime
2403,1586905887.6061702,72.83088684082031,72.83088684082031,,
2404,1586905887.6117,,,300.0004336250001,0.0
2405,1586906187.6162891,74.36327362060547,74.36327362060547,,
2406,1586906187.6213832,,,299.9995062500001,0.0
2407,1586906487.625811,100.38096618652344,100.38096618652344,,
2408,1586906487.6288772,,,300.0000085000001,0.0
2409,1586906787.634109,100.38096618652344,100.38096618652344,,
2410,1586906787.63727,,,299.9991455833334,0.0
2411,1586907087.643125,100.38096618652344,100.38096618652344,,
2412,1586907087.64861,,,300.0008482916667,0.0
2413,1586907387.6541471,100.38096618652344,100.38096618652344,,
2414,1586907387.6595302,,,299.9998165833334,0.0
2415,1586907687.662291,100.38096618652344,100.38096618652344,,
2416,1586907687.6679971,,,299.9993178333334,0.0
2417,1586907987.6675742,62.652130126953125,62.652130126953125,,
2418,1586907987.669786,,,300.00046725000004,0.0
2419,1586908287.6779332,62.7059211730957,62.7059211730957,,
2420,1586908287.6805682,,,299.99979200000007,0.0
2421,1586908587.6928964,97.9830093383789,97.9830093383789,,
2422,1586908587.6975093,,,300.0004638750001,0.0
2423,1586908887.701861,94.74400329589844,94.74400329589844,,
2424,1586908887.706698,,,299.99995504166674,0.0
2425,1586909187.7100182,48.72151565551758,48.72151565551758,,
2426,1586909187.717935,,,299.99998587500005,0.0
2427,1586909487.719329,61.76615905761719,61.76615905761719,,
2428,1586909487.724627,,,299.99999841666676,0.0
2429,1586909787.7274113,98.93327331542969,98.93327331542969,,
2430,1586909787.7306921,,,300.00032287500005,0.0
2431,1586910087.7380233,100.28572845458984,100.28572845458984,,
2432,1586910087.7432961,,,299.99967612500006,0.0
2433,1586910387.7463472,100.28572845458984,100.28572845458984,,
2434,1586910387.7538462,,,299.9999969583334,0.0
2435,1586910687.7571862,100.28572845458984,100.28572845458984,,
2436,1586910687.7605343,,,300.0000027500001,0.0
2437,1586910987.7648473,77.09065246582031,77.09065246582031,,
2438,1586910987.768733,,,299.9999994583334,0.0
2439,1586911287.7727423,78.04528045654297,78.04528045654297,,
2440,1586911287.776093,,,299.9999019166667,0.0
2441,1586911587.784441,56.94752502441406,56.94752502441406,,
2442,1586911587.788988,,,300.0001201666667,0.0
2443,1586911887.7925682,89.06915283203125,89.06915283203125,,
2444,1586911887.7971022,,,300.00006862500004,0.0
2445,1586912187.805951,,,299.99987337500005,0.0
2446,1586912187.8150673,76.74002838134766,76.74002838134766,,
2447,1586912487.812397,75.35038757324219,75.35038757324219,,
2448,1586912487.8154802,,,300.0000642083334,0.0
2449,1586912787.819129,93.10919952392578,93.10919952392578,,
2450,1586912787.8250031,,,299.99997225000004,0.0
2451,1586913087.8307152,96.86039733886719,96.86039733886719,,
2452,1586913087.836163,,,300.00009200000005,0.0
2453,1586913387.8388462,96.86039733886719,96.86039733886719,,
2454,1586913387.8445802,,,299.99962862500007,0.0
2455,1586913545.546442,,,157.68222525000004,0.0
2456,1586913545.735621,96.86039733886719,96.86039733886719,,
2457,1586913729.5089722,,,1.0074492083333335,0.0
2458,1586913729.677608,7.228759765625,7.228759765625,,
2459,1586913749.0932052,,,2.393830458333334,0.0
2460,1586913749.2953172,7.228759765625,7.228759765625,,
2461,1586913799.1528893,,,15.744367000000004,0.0
2462,1586913799.3369071,97.8569564819336,97.8569564819336,,
2463,1586913824.121432,,,10.088333458333336,0.0
2464,1586913824.311274,104.0057373046875,104.0057373046875,,
2465,1586948143.9018183,,,3.7940475416666675,0.0
2466,1586948144.093041,7.228759765625,7.228759765625,,
2467,1586948149.770024,,,1.4780751250000004,0.0
2468,1586948149.960443,59.840660095214844,59.840660095214844,,
2469,1586948182.0165231,,,1.627983166666667,0.0
2470,1586948182.209136,7.228759765625,7.228759765625,,
2471,1586953438.4030533,,,4.619399416666668,0.0
2472,1586953438.5870261,43.99101638793945,43.99101638793945,,
2473,1586962402.9493341,,,3.4023218750000006,0.0
2474,1586962403.133172,70.03636169433594,70.03636169433594,,
2475,1586962406.686614,,,1.9974802916666672,0.0
2476,1586962406.864942,69.74835205078125,69.74835205078125,,
2477,1586962408.9941912,,,0.9864864583333336,0.0
2478,1586962409.174344,54.49790954589844,54.49790954589844,,
2479,1586967397.8102481,,,2.598632958333334,0.0
2480,1586967397.996007,458.75830078125,458.75830078125,,
2481,1586967712.294901,518.0831298828125,518.0831298828125,,
2482,1586967712.296766,,,300.0008542083334,0.0
2483,1586968012.3087392,284.9286804199219,284.9286804199219,,
2484,1586968012.3151982,,,299.99975629166676,0.0
2485,1586968077.8653352,,,65.53559062500001,0.0
2486,1586968078.0620723,82.0650634765625,82.0650634765625,,
2487,1586970807.7406402,,,3.014937958333334,0.0
2488,1586970807.9309473,65.61052703857422,65.61052703857422,,
2489,1586970854.075962,,,10.013071791666668,0.0
2490,1586970854.2694402,146.07394409179688,146.07394409179688,,
2491,1586972798.114788,,,50.88931825000001,0.0
2492,1586972798.3087702,111.91531372070312,111.91531372070312,,
2493,1586974897.4676342,,,1.2970893750000003,0.0
2494,1586974897.6585412,55.73281478881836,55.73281478881836,,
2495,1586974904.560429,,,1.1572028750000003,0.0
2496,1586974904.7453222,83.51419067382812,83.51419067382812,,
2497,1586974922.6589084,,,5.018019666666667,0.0
2498,1586974922.8465931,97.45719146728516,97.45719146728516,,
2499,1586974972.644987,,,2.9752511666666672,0.0
2500,1586974972.8530982,94.56807708740234,94.56807708740234,,
2501,1586974978.0869312,,,3.9169602916666677,0.0
2502,1586974978.3630853,95.05240631103516,95.05240631103516,,
2503,1586974994.7153482,,,6.514005666666668,0.0
2504,1586974994.899142,101.5553970336914,101.5553970336914,,
2505,1586975029.9645429,,,8.777353833333335,0.0
2506,1586975030.185327,104.34619140625,104.34619140625,,
2507,1586975039.054275,,,1.9585823750000004,0.0
2508,1586975039.2325702,110.81343078613281,110.81343078613281,,
2509,1586982387.8996172,,,10.001273625000001,0.0
2510,1586982388.0835552,110.64630126953125,110.64630126953125,,
2511,1586983974.5723011,,,10.013610625000002,0.0
2512,1586983974.7736511,110.89643096923828,110.89643096923828,,
2513,1586985567.502078,,,10.01452566666667,0.0
2514,1586985567.6748972,110.86688232421875,110.86688232421875,,
2515,1586988672.1794581,,,0.41456333333333345,0.0
2516,1586988672.385502,60.95720672607422,60.95720672607422,,
2517,1586988675.582858,,,2.7408321666666673,0.0
2518,1586988675.76587,94.46298217773438,94.46298217773438,,
2519,1586988848.631897,,,10.008028458333335,0.0
2520,1586988848.8112903,120.94322204589844,120.94322204589844,,
2521,1586988909.2407722,,,45.82938604166667,0.0
2522,1586988909.4155583,105.36247253417969,105.36247253417969,,
2523,1586998552.7266593,,,20.67512483333334,0.0
2524,1586998552.915791,82.93567657470703,82.93567657470703,,
2525,1587034047.7246823,,,1.7536803333333337,0.0
2526,1587034047.9115043,8.851858139038086,8.851858139038086,,
2527,1587034302.140214,,,10.321890666666668,0.0
2528,1587034302.3143702,18.568185806274414,18.568185806274414,,
2529,1587037372.345272,,,10.005837083333336,0.0
2530,1587037372.5396261,8.243277549743652,8.243277549743652,,
