ad_source_id,cpm
4724bd9fd035462d9edee6532af790ba,2.2
f81beb88dcd2438594ad6fbfa147736a,5.7
31503d93d6594721a013d6fda0398f77,1.5
945f4cc802aa426399273cdc59edd6b0,6.9
a2724f07b5d7418590628ceb4123c368,2.4
e7d1e05ef3a54243b5848e619cba89e3,6.0
2c582414ca874eb581cdcf8c37b27458,0.2
d925083fc483419f807dd4156d8c7707,1.5
6761ed9bd7714c90912846b70e2e3c49,9.6
f30acb49091548969ffdc565a6e6f074,2.0
ffca31d0c2d344719b34e1624e9c959e,0.51
9591162985ef4a93b6e14e572f6b9c0f,0.9
612184ed035d4347bb66552731afc95e,1.75
fb75e09ddad942be80d0c3fe54fe7f1e,1.4
6755901d7e6e4827a732ebc86ebc3c77,0.3
55cfb351d4a842339cbabdeaf57a2cd8,9.0
59d9e507637d42988268e3ab004ee238,0.25
10b9af5f5df345569b844accc025e09b,0.9
23e10fa57bfe44c49ffb246f03b1da6b,0.96
d2f374f785a448d8ac11085d20bdf6a8,0.15
9a33a15e262c4b2c98694bb221e8b1f1,1.9
f9815713edcf4824a6ec75940462d172,6.0
40e79208ba124addaec2e0a13ffd9a1f,1.7
a67ef680425246858d5ad68af929d102,1.15
b5bdbdea2ea143508bd55691f2fb1246,0.5
1ddab73c985c409e89fc115211cdea01,1.75
af539991de364062b3587660e52f46b2,3.1
ade13f75c68a43aa8aafefe9a1007e3f,10.0
b8310403a300404eba2340950d004ca0,1.2
a3d68eb6c08c4cac92097f8185d07643,9.2
4e89077b26a24ff1bb241fe9bcdadd1f,3.0
67df3aa1a53e43b9a9cf723019ead756,0.95
bde35844e42a4a0380cc452a6dd56a40,0.2
b97400f2e52344618bca40e3aa02f1c4,5.0
e667317d0b5d49dd9bd9a6dd6e626675,3.7
3e364811d3c544b488fd0da5fa4357d4,0.42
42af3f451fa6445aa8a221dafd729937,5.0
c70ff28f952948ddab1dd80c5a3eb9dd,0.7
102e25a238db4f5095345401889b49e6,0.5
10b8dac5abc443dba2d12b358d865a68,6.2
8ce86c9d44624c10b9b744fa97ed8a8a,8.0
19cf00c73c2e47118a8bd7162d7f670a,4.6
97f6f9c6647e4eb58e848789425f9fff,1.4
2dd014b17e92466d95530b5057fb1963,0.3
7765ae3748724478a3e6d6fe3d646825,0.9
b537854c8f5d47d19e39d03b713345f5,3.9
26aa7050fb7b4970a989a4c2dc8d0b8e,1.2
44151597eb7d40f799504be400db0c42,0.1
39d35fc0ffc8478a9abdf078ae562736,0.8
6baabe0229434a5ab07248d5cfac397c,0.15
440c5a3d66364af99b81d6899457c62b,0.46
21748ab10ad24b1fb51f173692159ac7,10.0
c5038311c4794178909359610e409226,1.6
01850367d6f342a79c44bed43341e571,0.6
d2f89aaeb0e649dc996eb25604c719e2,0.75
6b7f88f7422642118e6534217ef4af9f,0.6
a28a11f7eaf74aeeaf4366e86b381c12,6.5
b8e743bf9ebf4f6fa520246e59f62c43,0.8
ed1ebd88aa584e68a7343041b2fe5d6b,0.1
fc1442f7977f4804a59faa448e758efe,5.3
d50f104bf5fe4014a76257d1f41bd785,9.6
1cc2a34a241b4b9b9c4aaf943a6cf20c,5.7
4b946c535c7642beb348d45872b427e4,0.6
35cc0b90eccf4ca4aab23875a49f1413,2.0
abad07084da246b0a23fff9222202889,0.75
a8ba309a31ca47d68d93b9058b24188d,1.75
af8645de2d0f429b92c5bfa04e5c4863,1.0
6b38266895a64f0db5a5b207be94c03c,4.3
bedeb187dccc467a9b0b8e2c0c66eb61,8.6
bd1e5dcae1304d7693c09833957f2260,0.7
9419f83207ec4833944acdc643cebb57,1.0
3561a83eba524c23ad97308c6031693e,10.0
bbc78ae8e0c4432d8cdfda1b49d456ea,0.8
c5237daa501b4fab938a970a97bc8603,0.8
f7b10f079794436f9013b9895af05f14,1.2
5321cd7000f648609306285720e71ed9,2.5
aa7135c2682d479aa55a67054e708581,1.2
8e4cc0c271ef4f1ebb0b4ded5d9125b4,1.1
1e2e58d27c2045f58b9d1c12f5a3e8fe,10.0
586751c549964a05bd1fb1f890935074,6.3
39a39446e24a4127b0167e393833c58a,0.1
89a24d91e63b4a4abd6aa23db0735fde,2.3
98bfa5685647465a927c41bd423c68e3,0.05
bf431ad6c47144839d2b6eab49e95817,4.4
73a3e625d3024cbc80448e57b29ee3c1,1.7
473920d680474930b34f5ee98fd19850,6.0
5f7941515f5245a1b5717908e4b11666,4.9
434edaa07db34302b050854bbae66903,0.25
1d515a7ddd2449b9be43bc2c5adf7271,2.5
ccc8bac9a62d434db597253e6170eadd,0.7
ab2b8977ca56492d9822575be8cc9f21,2.9
c324e9655bef440c8494b83f27483e34,4.1
bf47b2ee430a4e37bbd707706bccae0b,2.54
206fa4f3f38b4d9e80e9473d92aede1d,1.1
10c48f7c2dd34aeda7f0d54bc22a96f8,3.8
58921a871f3945d6a166d4452bbccb45,0.65
503fc2e4cb1a4046b4490274bfbc3cc4,5.0
6942c8f08bf846998cddb10e111affef,0.7
b4b7b336d86c4d04bcfa7d4c671f5dc5,0.8
528092113dcc478db9cc1bda2da2d351,2.6
ccffb32c7c644717959700d15577abfe,0.9
9ba1cb3b1c5c408c8685bbc4a1c22d08,5.8
879af59682764447bcc205148ec627ab,0.4
f4d618ffab0c4d3c86d6b5e3669d9dfb,1.0
104fb14c2dbb474fa3a226a75d81fb91,0.05
d0899664e77c4de3b48d25cec79df3c7,4.2
7911eeaa82414ad6aed2b38faa97a7b3,6.2
73a66e59c6164ed6a10c9e6433002147,0.6
9c9d1be021b04adf83be59e2bcf08567,9.4
7b06767ea4e841e5b48d1d4d45859366,0.15
651aea19d70242c28d904ac205942283,0.7
58d5ffb72d2b4f7cbd17c572487c020a,8.0
9b2a479a22174e62b77c17736660ebf0,5.9
3b4785759e9142d1ad0ec26ff891ee0f,1.2
31700bd0f259450b9fd7dbd2a1d88eb1,6.7
d298bf894eb44dca81487bd7501aa1cd,6.4
c11d1a4e5c134ea88d474324de033b73,0.75
fbff56ff4f59488e938410ee2ce6dac9,0.05
b653f5d64684479286d6f62a4efeace2,9.2
b14e8c344b2143d7ae89499dac38b27a,6.5
fb658608e48342e28b8b16a0560046b6,2.2
7bf40e3d57be495b9d986178f7b5460d,7.0
510d30ea2ae04b6c9044b9ada3d94658,0.45
feaebcfc06c74113a5c21f364c1fbf2c,2.0
106683dd6a504c0d8893b47158af221c,4.5
13e230b53b2540e0be57146cef42eb26,0.2
cad3d7834a024b22892fb80927ccc07c,4.8
5e714d8bc2a148c289c78fddfaa31ab4,4.2
972d0c5953ce452b977e947b1a196f8b,2.6
45e845b48b4249af8d3aee76bcaea866,5.0
3c22f47b490f4adbb95c7ce23571f027,6.7
520e09944dad41aebc7c5b7305703ceb,0.05
861103f78888469180dd3d3dfecd7ee1,0.3
ea6ac22d07cf449faf002ba9c43b18e0,6.9
09ad153f86b74f7a89d7a9d23fa79291,0.7
9e3754a6230b458e89dc836094dea560,3.5
c620de5f9c6e4b79b5748c35e260a48f,0.9
9e753c32ef0d47be9b3bd2881c0439c1,4.7
dae68c712cc64fe985b3697230bc5ebc,1.2
0c6f808fd7ad43969e07ed03155789ae,1.0
13319cb0ca2c4d41b6924e660c0d86d9,0.3
21770589fbf946219111c25a993006b3,8.4
dfcd073a7a134716b7620c4eadf792d6,3.2
530b571d20a14d738f7ec99e68eccaf1,5.5
ab107a56b8a34ee3aee804611592c93b,0.95
b61ce5dd5ab345299df094bffd9bae10,1.4
65f67adcd6124b45ac27206487a0dc80,2.0
57dc096578a7457e8a6429e26e52386d,0.8
305bed8c16a14df1891c042b43f36936,4.8
e8b120eb37b148798b5d3489141e0134,0.25
d722fcb8fb1340cdade07f65367bb401,0.9
0221689771764fefb44f9782d628613f,7.6
24227e8f0c2f445fb32744059ecd5841,0.2
d14ca1b6cda242088bccab94ac7bb32e,0.55
e2cca62eb51d45de86881c206e2c8d83,1.25
