ROWID,owner_id,date,type,duration,metadata,session_uuid,error
38,36805,607541801.455536,7,483.2620702981949,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xa0p14~@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t@W\x85\x89\x105\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
39,36805,607541801.7955278,5,0.0,,,
40,36805,607541803.7157224,6,0.0,,,
41,36805,607542100.0241117,7,305.2556383609772,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00@\x18\x17\x14s@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00M\xe8\x02\xfdm\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
42,36805,607542284.7176063,7,525.8558428287506,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00 \xc4\xd8n\x80@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x80(Qj[@\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
43,36805,607542405.2797501,7,328.33934569358826,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xc0\xf5m\x85t@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00q~\xf1\xa1C\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
44,36805,607542733.6190958,7,341.16862523555756,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00`\xb0\xb2Ru@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00\xc1\xa1\xffBi\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
45,36805,607542810.5734491,7,533.567374587059,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xb0\xfb\x89\xac\x80@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00n\t\xba\x149\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
46,36805,607543344.1408237,7,2.565647602081299,"b'\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00@r\x86\x04@\x12\x01s\n7\n\'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00\xa0\xda\x9dR\xd6""@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02'",,
47,44801,607633888.755963,7,302.4418878555298,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00\xf9\x11\xe7r@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00D\x91x\xfaD\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
48,44801,607633888.755963,7,494.84676015377045,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00`T\x8c\xed~@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00@u\x1dUD\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
49,44801,607633889.0997499,5,0.0,,,
50,44801,607633891.0612295,6,0.0,,,
51,44801,607634191.1978508,7,307.84689152240753,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00 \xde\x8c=s@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00\xf9\tg\xadg\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
52,44801,607634383.6027231,7,520.7683115005493,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x80\x80%F\x80@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t@\xc8\x90N\t7\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
53,44801,607634499.0447423,7,315.5391811132431,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00`|\xa0\xb8s@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x80\xban^\x10r\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
54,44801,607634814.5839235,7,366.84968388080597,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00 N\x98\xedv@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x80K\x9buKh\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
55,44801,607634904.3710346,7,556.6938991546631,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00\x1b\x8de\x81@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t@\xef\xe0\x19\xb67\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
56,44801,607635461.0649338,7,5.131657600402832,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00@\xd1\x86\x14@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x00@\x93M\xcf\xfa1@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
