ID,timestamp,ClientAdvDuration_0,ClientAdvDuration_1,ClientAdvDuration_2,ClientAdvDuration_3,ClientAdvDuration_4,ClientAdvDuration_5,ClientAdvDuration_6,ClientAdvDuration_7,ClientAdvDuration_8,ClientAdvDuration_9,ClientAdvDuration_10,ClientAdvDuration_11,ClientAdvDuration_12,ClientAdvDuration_13,ClientAdvDuration_14,ClientAdvDuration_15,ClientAdvDuration_16,ClientAdvDuration_17,ClientAdvDuration_18,ClientScanConfig_0,ClientScanConfig_1,ClientScanConfig_2,ClientScanConfig_3,ClientScanConfig_4,ClientScanConfig_5,ClientScanConfig_6,ClientScanConfig_7,ClientScanConfig_8,ClientScanConfig_9,ClientScanConfig_10,ClientScanConfig_11,ClientScanConfig_12,ClientScanConfig_13,ClientScanConfig_14,ClientScanConfig_15,ClientScanConfig_16,ClientScanConfig_17,ClientScanConfig_18,ClientScanDuration_0,ClientScanDuration_1,ClientScanDuration_2,ClientScanDuration_3,ClientScanDuration_4,ClientScanDuration_5,ClientScanDuration_6,ClientScanDuration_7,ClientScanDuration_8,ClientScanDuration_9,ClientScanDuration_10,ClientScanDuration_11,ClientScanDuration_12,ClientScanDuration_13,ClientScanDuration_14,ClientScanDuration_15,ClientScanDuration_16,ClientScanDuration_17,ClientScanDuration_18
366,1586903576.9688232,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,98007,0,0,0,0,0,0,0,0,0,4,5,0,0,0,127,0,0,1236,0,0,0,0,0,0,0,0,1780,0,1773,0,629,0,0,1577,0,0,96772,1780,0,1550
367,1586913551.535339,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,107981,0,0,0,0,0,0,0,0,0,4,5,0,0,0,135,0,0,3219,2,0,0,0,0,0,0,0,11239,0,11250,0,10106,0,0,11035,0,0,104763,11253,0,11001
368,1586948145.6582532,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,142573,0,0,0,0,0,0,0,0,0,4,6,0,0,0,147,0,0,3239,2,0,0,0,0,0,0,0,11269,0,11279,0,10136,0,0,11053,0,0,139335,11282,0,11001
369,1586953439.382575,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,147867,0,0,0,0,0,0,0,0,0,4,6,0,0,0,154,0,0,3246,2,0,0,0,0,0,0,0,11276,0,11286,0,10136,0,0,11053,0,0,144621,11289,0,11001
370,1586962400.443202,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,156832,0,0,0,0,0,0,0,0,0,4,6,0,0,0,158,0,0,3251,2,0,0,0,0,0,0,0,11281,0,11291,0,10136,0,0,11053,0,0,153582,11294,0,11001
371,1586967400.8697932,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,161828,0,0,0,0,0,0,0,0,0,4,6,0,0,0,164,0,0,3257,2,0,6,0,0,0,0,0,11287,0,11297,0,10142,0,0,11053,0,0,158571,11301,0,11001
372,1586970809.942789,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,165235,0,0,0,0,0,0,0,0,0,4,7,0,0,0,171,0,0,3712,2,0,6,0,0,0,0,0,11954,0,11964,0,10809,0,0,11713,0,0,161524,11967,0,11656
373,1586972752.609208,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,167178,0,0,0,0,0,0,0,0,0,4,7,0,0,0,178,0,0,3721,2,0,6,0,0,0,0,0,11967,0,11977,0,10823,0,0,11719,0,0,163458,11983,0,11656
374,1586974901.6995912,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,169327,0,0,0,0,0,0,0,0,0,4,7,0,0,0,182,0,0,3731,2,0,6,0,0,0,0,0,12018,0,12029,0,10874,0,0,11766,0,0,165596,12034,0,11696
375,1586982383.2666602,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,176808,0,0,0,0,0,0,0,0,0,4,7,0,0,0,205,0,0,3764,2,0,6,0,0,0,0,0,12051,0,12061,0,10907,0,0,11775,0,0,173045,12067,0,11696
