Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,Z13_HASPROCESS,ZALLFLOWS,ZBILLCYCLEEND,ZJUMBOFLOWS,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWIREDIN,ZWIREDOUT,ZWWANIN,ZWWANOUT,ZXIN,ZXOUT
35,9,953,0,0,0,35,13,6812.0,,0.0,606520081.323555,48555878.0,12799080.0,0.0,0.0,16332714.0,2179384.0,0.0,0.0
36,9,37,0,0,0,36,13,138.0,,0.0,606520083.830888,797689.0,234766.0,0.0,0.0,99891.0,59273.0,0.0,0.0
37,9,25,0,0,0,37,13,42.0,,0.0,606520085.693523,203350.0,77944.0,0.0,0.0,23703.0,11161.0,0.0,0.0
38,9,6,0,0,0,38,13,5.0,,0.0,606520086.190068,19983.0,58746.0,0.0,0.0,6763.0,20747.0,0.0,0.0
39,9,316,0,0,0,39,13,730.0,,0.0,606520086.693162,2868097.0,1378517.0,0.0,0.0,629095.0,648680.0,0.0,0.0
40,9,16,0,0,0,40,13,29.0,,0.0,606520093.638117,0.0,0.0,0.0,0.0,297452.0,244731.0,0.0,0.0
41,9,90,0,0,0,41,13,246.0,,2.0,606520094.634138,254998.0,78283.0,11044547.0,490551858.0,50719.0,19747.0,0.0,0.0
42,9,166,0,0,0,42,13,385.0,,0.0,606520094.927664,1363237.0,805761.0,0.0,0.0,96883.0,60612.0,0.0,0.0
43,9,537,0,0,0,43,13,1595.0,,0.0,606520110.867024,4447843.0,11582070.0,0.0,0.0,3877778.0,3768288.0,0.0,0.0
44,9,3,0,0,0,44,13,2.0,,0.0,606520110.871005,0.0,0.0,0.0,0.0,11968.0,4778.0,0.0,0.0
45,9,145,0,0,0,45,13,276.0,,0.0,606520111.283204,2937738.0,482133.0,0.0,0.0,225606.0,34928.0,0.0,0.0
46,9,65,0,0,0,46,13,99.0,,0.0,606520142.863267,667627.0,203319.0,0.0,0.0,131892.0,37861.0,0.0,0.0
47,9,8,0,0,0,47,13,36.0,,0.0,606520151.8812,12076540.0,290432.0,0.0,0.0,748711.0,49060.0,0.0,0.0
48,9,40,0,0,0,48,13,33.0,,0.0,606520157.08642,204291.0,141994.0,0.0,0.0,142340.0,103952.0,0.0,0.0
49,9,450,0,0,0,49,13,1698.0,,0.0,606520157.092215,89252204.0,5687587.0,0.0,0.0,4806674.0,1151885.0,0.0,0.0
50,9,19,0,0,0,50,13,27.0,,0.0,606520157.095463,53434.0,35874.0,0.0,0.0,81733.0,63741.0,0.0,0.0
51,9,146,1,0,0,51,14,327.0,,0.0,606520157.100614,1693089.0,787775.0,0.0,0.0,392413.0,211365.0,0.0,0.0
52,9,9,0,0,0,52,13,12.0,,0.0,606520157.115087,0.0,0.0,0.0,0.0,51514.0,27815.0,0.0,0.0
53,9,31,0,0,0,53,13,54.0,,0.0,606520157.119646,196163.0,105410.0,0.0,0.0,97456.0,56385.0,0.0,0.0
54,9,15,0,0,0,54,13,22.0,,0.0,606520159.223709,139863.0,32459.0,0.0,0.0,21686.0,5714.0,0.0,0.0
55,9,5,0,0,0,55,13,9.0,,0.0,606520159.226415,12307.0,7371.0,0.0,0.0,23795.0,24324.0,0.0,0.0
56,9,75,0,0,0,56,13,224.0,,0.0,606520159.583709,412751.0,394204.0,0.0,0.0,377928.0,474364.0,0.0,0.0
57,9,160,1,0,0,57,14,682.0,,0.0,606520161.73523,2084630.0,1266230.0,0.0,0.0,1572850.0,697998.0,0.0,0.0
58,9,2,0,0,0,58,13,10.0,,0.0,606520162.741589,0.0,0.0,0.0,0.0,51117.0,31184.0,0.0,0.0
59,9,176,1,0,0,59,14,497.0,,0.0,606520167.005519,1599870.0,1130390.0,0.0,0.0,723896.0,454757.0,0.0,0.0
