ID,timestamp,IpDst,IpDstPort,IpProto,IpSrc,IpSrcPort,IpVer,IsCmas,PID,ProcessName,QmiClientId,QmiLen,QmiMsgId,QmiSvcType,WakeChannel,WakeData,WakeDataParsed,WakeSubType,WakeType
3078,1586933714.203176,,,,,,,0,,,3.0,20.0,53252.0,226.0,3,,,0,0
3079,1586934042.110917,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3080,1586935992.602953,,,,,,,0,,,3.0,20.0,53252.0,226.0,3,,,0,0
3081,1586936474.3767853,,,-1.0,,,6.0,0,,,,,,,4,,,12,2
3082,1586937101.429824,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3083,1586937859.2397113,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3084,1586938121.6691182,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3085,1586939121.500003,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3086,1586939141.732485,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3087,1586939411.8682292,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3088,1586939530.9752512,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3089,1586940162.007052,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3090,1586941182.2003093,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3091,1586941316.5770273,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3092,1586942202.370503,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3093,1586943222.5379221,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3094,1586943405.8613782,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3095,1586944247.867404,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3096,1586945165.5905461,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3097,1586945262.8643181,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3098,1586945434.381828,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3099,1586945968.2036343,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3100,1586946283.055082,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3101,1586947308.4254391,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3102,1586947787.3481169,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3103,1586989117.955472,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3104,1586989144.8969312,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3105,1586989165.322124,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3106,1586989169.974452,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3107,1586989203.72806,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3108,1586989216.9423442,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3109,1586989219.556378,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3110,1586989322.826672,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3111,1586989352.4056911,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3112,1586989356.8839102,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3113,1586989379.0915272,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3114,1586989471.2606912,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3115,1586989480.8548002,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3116,1586989568.521177,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3117,1586991163.450597,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3118,1586992183.6409721,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3119,1586993203.836855,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3120,1586994094.715191,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3121,1586994222.7367811,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3122,1586994234.304143,,,,,,,0,,,3.0,20.0,53252.0,226.0,3,,,0,0
3123,1586995113.69065,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3124,1586996133.8816512,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3125,1586996263.0917473,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3126,1586996554.9347372,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3127,1586996720.020968,,,,,,,0,,,3.0,20.0,53252.0,226.0,3,,,0,0
3128,1586997195.0317912,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3129,1586997283.3948512,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3130,1586998308.615735,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3131,1586999323.638637,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3132,1586999650.1053472,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3133,1587000343.8216162,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3134,1587002384.283339,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3135,1587002589.0002112,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3136,1587003275.1777952,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3137,1587003404.3974433,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3138,1587004300.416377,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3139,1587004423.292902,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3140,1587006247.3950481,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3141,1587006339.585894,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3142,1587006367.659034,,,1.0,,,4.0,0,,,,,,,4,,,12,2
3143,1587007354.5838552,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3144,1587007484.150301,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3145,1587008376.160568,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3146,1587008504.000678,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3147,1587009400.0601482,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3148,1587009409.98042,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3149,1587009522.928493,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3150,1587009862.130238,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3151,1587010548.2103062,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3152,1587010655.784953,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3153,1587011437.820379,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3154,1587011563.2704082,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3155,1587012454.254662,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3156,1587012601.37543,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3157,1587013491.0658112,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3158,1587013603.6448271,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3159,1587014623.873983,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3160,1587015514.768251,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3161,1587015644.002851,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3162,1587016534.9117832,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3163,1587016655.3686862,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3164,1587017684.3831,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3165,1587018581.669548,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3166,1587018704.6076431,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3167,1587019595.470757,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3168,1587019723.4533682,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3169,1587020046.0879183,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3170,1587020249.5980983,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3171,1587020743.726432,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3172,1587021431.05653,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3173,1587022654.849893,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3174,1587023625.01566,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3175,1587023804.2322621,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3176,1587024527.61696,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3177,1587024824.3805542,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3178,1587025030.5034142,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3179,1587025408.9858992,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3180,1587025844.5703082,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3181,1587026740.6059713,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3182,1587026863.4991932,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3183,1587027754.4664073,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3184,1587027764.7725492,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3185,1587027883.744589,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3186,1587028129.324135,,,,,,,0,,,3.0,44.0,76.0,3.0,3,,,0,0
3187,1587028631.3055182,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3188,1587028737.464663,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3189,1587028903.868371,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3190,1587029794.719759,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3191,1587029924.008851,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3192,1587030814.9945483,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3193,1587030944.193416,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3194,1587031529.2138991,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3195,1587031892.73474,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3196,1587031963.094536,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3197,1587032079.59974,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3198,1587032970.4772973,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3199,1587032984.6025772,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3200,1587033880.7478952,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
