Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
239,16002,,,1,,2,608010229.181228,,,,,
240,16002,,,1,,2,608013784.52106,,,,,
241,16002,,,1,,2,608022715.22152,,,,,
242,16002,,,1,,2,608023880.677895,,,,,
243,16002,,,1,,2,608025080.783338,,,,,
244,16002,,,1,,2,608028676.320917,,,,,
245,16002,,,1,,2,608031825.288171,,,,,
246,16002,,,1,,2,608035384.201974,,,,,
247,16002,,,1,,2,608038984.656797,,,,,
248,16002,,,1,,2,608042585.605755,,,,,
249,16002,,,1,,2,608046182.634961,,,,,
250,16002,,,1,,2,608153431.326048,,,,,
251,16002,,,1,,2,608154335.84506,,,,,
252,16002,,,1,,2,608155249.250498,,,,,
253,16002,,,1,,2,608157055.624415,,,,,
254,16002,,,1,,2,608160656.216665,,,,,
255,16002,,,1,,2,608164247.802202,,,,,
256,16002,,,1,,2,608167912.301928,,,,,
257,16002,,,1,,2,608171542.394807,,,,,
258,16002,,,1,,2,608242315.633752,,,,,
259,16002,,,1,,2,608243226.804003,,,,,
260,16002,,,1,,2,608244127.667371,,,,,
261,16002,,,1,,2,608246036.392043,,,,,
262,16002,,,1,,2,608249569.475556,,,,,
263,16002,,,1,,2,608253164.735953,,,,,
264,16002,,,1,,2,608256862.43172,,,,,
265,16002,,,1,,2,608260316.653561,,,,,
266,16002,,,1,,2,608264212.148407,,,,,
267,16002,,,1,,2,608267941.468233,,,,,
268,16002,,,1,,2,608271240.189553,,,,,
269,16002,,,1,,2,608274917.263817,,,,,
270,16002,,,1,,2,608278595.85308,,,,,
271,16002,,,1,,2,608282211.735653,,,,,
272,16002,,,1,,2,608285571.155021,,,,,
273,16002,,,1,,2,608289474.73814,,,,,
274,16002,,,1,,2,608292777.988213,,,,,
275,16002,,,1,,2,608296329.278451,,,,,
276,16002,,,1,,2,608324888.630369,,,,,
277,16002,,,1,,2,608325793.37733,,,,,
278,16002,,,1,,2,608326698.622414,,,,,
279,16002,,,1,,2,608328640.498,,,,,
280,16002,,,1,,2,608332096.011411,,,,,
281,16002,,,1,,2,608335693.33112,,,,,
282,16002,,,1,,2,608351543.589231,,,,,
283,16002,,,1,,2,608352451.705282,,,,,
284,16002,,,1,,2,608353382.422104,,,,,
285,16002,,,1,,2,608355306.972327,,,,,
286,16002,,,1,,2,608358753.511026,,,,,
287,16002,,,1,,2,608362508.289823,,,,,
288,16002,,,1,,2,608366109.55519,,,,,
289,16002,,,1,,2,608374197.373982,,,,,
290,16002,,,1,,2,608375471.307878,,,,,
291,16002,,,1,,2,608376950.366743,,,,,
292,16002,,,1,,2,608377394.71362,,,,,
293,16002,,,1,,2,608380531.929815,,,,,
294,16002,,,1,,2,608384064.9328,,,,,
295,16002,,,1,,2,608387664.491617,,,,,
296,16002,,,1,,2,608392456.815568,,,,,
297,16002,,,1,7.0,2,608403109.028028,,,,,
298,16002,,,1,,2,608403276.046561,,,,,
299,16002,,,1,,2,608405670.24328,,,,,
300,16002,,,1,7.0,2,608407594.027282,,,,,
301,16002,,,1,7.0,2,608407759.912552,,,,,
302,16002,,,1,,2,608408578.940714,,,,,
303,16002,,,1,,2,608408595.401382,,,,,
304,16002,,,8,,9,608409258.36062,,,,,
305,16002,,,1,,2,608409259.211933,,,,,
306,16002,,,1,,2,608409259.876675,,,,,
307,16002,,,1,,2,608409525.410879,,,,,
308,16002,,,1,,2,608413042.109312,,,,,
309,16002,,,1,,2,608416643.03538,,,,,
310,16002,,,1,,2,608420240.984533,,,,,
311,16002,,,1,,2,608423849.459436,,,,,
312,16002,,,1,,2,608431045.428604,,,,,
313,16002,,62.0,1,,2,608498182.959995,,,,,
314,16002,,,1,7.0,2,608498348.367397,,,,,
315,16002,,,1,,2,608498649.552047,,,,,
316,16002,,,1,,2,608499188.505402,,,,,
317,16002,,,1,,2,608499190.377343,,,,,
318,16002,,,1,,2,608500148.173106,,,,,
319,16002,,,1,,2,608503758.155148,,,,,
320,16002,,,1,,2,608507507.945333,,,,,
321,16002,,,1,,2,608511166.116706,,,,,
322,16002,,,1,7.0,2,608519661.568762,,,,,
323,16002,,,1,7.0,2,608519694.649169,,,,,
324,16002,,,1,7.0,2,608565227.059609,,,,,
325,16002,,,1,,2,608598685.682729,,,,,
326,16002,,,1,,2,608599591.6263,,,,,
327,16002,,,1,,2,608600495.212516,,,,,
328,16002,,,1,,2,608602296.292834,,,,,
329,16002,,,1,,2,608606545.08719,,,,,
330,16002,,,1,,2,608609487.667013,,,,,
331,16002,,,1,,2,608613248.602115,,,,,
332,16002,,,1,,2,608616703.916785,,,,,
333,16002,,,1,,2,608620557.122053,,,,,
334,16002,,,1,,2,608623932.303906,,,,,
335,16002,,,1,,2,608631831.14201,,,,,
336,16002,,,1,,2,608632914.192583,,,,,
337,16002,,,1,,2,608634958.968867,,,,,
338,16002,,,1,,2,608638513.981265,,,,,
339,16002,,,1,,2,608691667.506234,,,,,
340,16002,,,1,,2,608692574.782572,,,,,
341,16002,,,1,,2,608693505.786187,,,,,
342,16002,,,1,,2,608695309.024178,,,,,
343,16002,,,1,,2,608698897.713986,,,,,
344,16002,,,1,,2,608702502.609908,,,,,
345,16002,,,1,,2,608706360.566123,,,,,
346,16002,,,1,,2,608716274.18599,,,,,
347,16002,,,1,,2,608717175.708754,,,,,
348,16002,,,1,,2,608718080.580989,,,,,
349,16002,,,1,,2,608720504.676741,,,,,
350,16002,,,1,,2,608724117.100226,,,,,
351,16002,,,1,,2,608738274.034614,,,,,
352,16002,,,1,,2,608739179.740046,,,,,
353,16002,,,1,,2,608740087.039006,,,,,
354,16002,,,1,,2,608741897.207209,,,,,
355,16002,,,1,7.0,2,608745207.167389,,,,,
356,16002,,,8,,9,608745433.384906,,,,,
357,16002,,,1,,2,608745433.779465,,,,,
358,16002,,,1,,2,608745434.170394,,,,,
359,16002,,,1,,2,608746117.465002,,,,,
360,16002,,,1,,2,608749221.673166,,,,,
