id,startTime,activityType,isStanding,mets,natalies,basalNatalies,overrideSet,truthMets,sessionUUID
22624,608178884.6299971,0,0,0.9232040643692017,30592074,30163936,0,0.9232040643692017,
22625,608178894.8798732,1,0,0.9232041239738464,30592288,30164150,0,0.9232041239738464,
22626,608178915.3829435,0,0,0.9232040643692017,30592717,30164579,0,0.9232040643692017,
22627,608178925.6333917,1,0,0.9232041239738464,30592931,30164793,0,0.9232041239738464,
22628,608178966.6423899,0,0,0.9232040643692017,30593789,30165651,0,0.9232040643692017,
22629,608178976.8911966,1,0,0.9232041239738464,30594003,30165865,0,0.9232041239738464,
22630,608178997.399213,0,0,0.9232040643692017,30594432,30166294,0,0.9232040643692017,
22631,608179007.6498275,1,0,0.9232041239738464,30594646,30166508,0,0.9232041239738464,
22632,608179038.4081165,0,0,0.9232040643692017,30595290,30167152,0,0.9232040643692017,
22633,608179048.6635138,1,0,0.9232041239738464,30595504,30167366,0,0.9232041239738464,
22634,608179058.9151671,1,0,0.9232041239738464,30595718,30167580,0,0.9232041239738464,
22635,608179192.1991861,0,0,0.9232040643692017,30598508,30170370,0,0.9232040643692017,
22636,608179202.4544975,1,0,0.9232041239738464,30598722,30170584,0,0.9232041239738464,
22637,608179243.4597943,0,0,0.9232040643692017,30599580,30171442,0,0.9232040643692017,
22638,608179253.7152307,1,0,0.9232041239738464,30599794,30171656,0,0.9232041239738464,
22639,608179325.4857585,0,0,0.9232040643692017,30601296,30173158,0,0.9232040643692017,
22640,608179335.7387552,1,0,0.9232041239738464,30601510,30173372,0,0.9232041239738464,
22641,608179345.990794,1,0,0.9232041239738464,30601724,30173586,0,0.9232041239738464,
22642,608179366.497218,0,0,0.9232040643692017,30602153,30174015,0,0.9232040643692017,
22643,608179376.7509881,1,0,0.9232041239738464,30602367,30174229,0,0.9232041239738464,
22644,608179387.0059168,0,0,0.9232040643692017,30602581,30174443,0,0.9232040643692017,
22645,608179397.2600312,1,0,0.9232041239738464,30602795,30174657,0,0.9232041239738464,
22646,608179499.7966056,0,0,0.9232040643692017,30604941,30176803,0,0.9232040643692017,
22647,608179510.0485764,1,0,0.9232041239738464,30605155,30177017,0,0.9232041239738464,
22648,608179592.1124787,0,0,0.9232040643692017,30606873,30178735,0,0.9232040643692017,
22649,608179602.3724895,1,0,0.9232041239738464,30607087,30178949,0,0.9232041239738464,
22650,608179612.62854,0,0,0.9232040643692017,30607301,30179163,0,0.9232040643692017,
22651,608179622.8882017,1,0,0.9232041239738464,30607515,30179377,0,0.9232041239738464,
22652,608179633.1480237,0,0,0.9232040643692017,30607729,30179591,0,0.9232040643692017,
22653,608179643.4093771,1,0,0.9232041239738464,30607943,30179805,0,0.9232041239738464,
22654,608179653.6711576,0,0,0.9232040643692017,30608157,30180019,0,0.9232040643692017,
22655,608179663.9367776,1,0,0.9232041239738464,30608371,30180233,0,0.9232041239738464,
22656,608179694.7234668,0,0,0.9232040643692017,30609015,30180877,0,0.9232040643692017,
22657,608179704.9835892,1,0,0.9232041239738464,30609229,30181091,0,0.9232041239738464,
22658,608179746.0406613,0,0,0.9232040643692017,30610088,30181950,0,0.9232040643692017,
22659,608179756.3058784,1,0,0.9232041239738464,30610302,30182164,0,0.9232041239738464,
22660,608179787.1070249,0,0,0.9232040643692017,30610946,30182808,0,0.9232040643692017,
22661,608179797.3717645,1,0,0.9232041239738464,30611160,30183022,0,0.9232041239738464,
22662,608179807.6400168,0,0,0.9232040643692017,30611374,30183236,0,0.9232040643692017,
22663,608179817.9086384,1,0,0.9232041239738464,30611589,30183451,0,0.9232041239738464,
22664,608180013.027431,0,0,0.9232040643692017,30615674,30187536,0,0.9232040643692017,
22665,608180023.2966478,1,0,0.9232041239738464,30615889,30187751,0,0.9232041239738464,
22666,608180115.718789,0,0,0.9232040643692017,30617824,30189686,0,0.9232040643692017,
22667,608180125.9883786,1,0,0.9232041239738464,30618039,30189901,0,0.9232041239738464,
22668,608180136.2591286,1,0,0.9232041239738464,30618254,30190116,0,0.9232041239738464,
22669,608180249.2023904,0,0,0.9232040643692017,30620618,30192480,0,0.9232040643692017,
22670,608180259.4696776,1,0,0.9232041239738464,30620832,30192694,0,0.9232041239738464,
22671,608180269.7374809,0,0,0.9232040643692017,30621046,30192908,0,0.9232040643692017,
22672,608180280.00565,1,0,0.9232041239738464,30621260,30193122,0,0.9232041239738464,
22673,608180290.2758112,1,0,0.9232041239738464,30621475,30193337,0,0.9232041239738464,
22674,608180300.5425973,0,0,0.9232040643692017,30621689,30193551,0,0.9232040643692017,
22675,608180310.8081881,1,0,0.9232041239738464,30621903,30193765,0,0.9232041239738464,
22676,608180321.076125,1,0,0.9232041239738464,30622117,30193979,0,0.9232041239738464,
22677,608180331.3443782,0,0,0.9232040643692017,30622331,30194193,0,0.9232040643692017,
22678,608180341.6118338,1,0,0.9232041239738464,30622545,30194407,0,0.9232041239738464,
22679,608180351.8788109,0,0,0.9232040643692017,30622759,30194621,0,0.9232040643692017,
22680,608180362.1473894,1,0,0.9232041239738464,30622974,30194836,0,0.9232041239738464,
22681,608180372.4067464,1,0,0.9232041239738464,30623188,30195050,0,0.9232041239738464,
22682,608180434.0002186,0,0,0.9232040643692017,30624477,30196339,0,0.9232040643692017,
22683,608180444.2648178,1,0,0.9232041239738464,30624691,30196553,0,0.9232041239738464,
22684,608180464.8003817,0,0,0.9232040643692017,30625120,30196982,0,0.9232040643692017,
22685,608180475.0662848,1,0,0.9232041239738464,30625334,30197196,0,0.9232041239738464,
