id,minlat,maxlat,minlong,maxlong
2733,31.5,32.0,-107.0,-106.5
2734,31.5,32.0,-107.0,-106.5
2735,31.5,32.0,-107.0,-106.5
2736,31.5,32.0,-107.0,-106.5
2737,31.5,32.0,-107.0,-106.5
2729,31.5,32.0,-106.5,-106.0
2730,31.5,32.0,-106.5,-106.0
2731,31.5,32.0,-106.5,-106.0
2732,31.5,32.0,-106.5,-106.0
2728,31.5,32.0,-103.5,-103.0
2727,31.5,32.0,-103.0,-102.5
2723,31.5,32.0,-102.5,-102.0
2724,31.5,32.0,-102.5,-102.0
2725,31.5,32.0,-102.5,-102.0
2726,31.5,32.0,-102.5,-102.0
2722,31.5,32.0,-102.0,-101.5
2721,31.5,32.0,-100.5,-100.0
2743,31.5,32.0,-111.0,-110.5
2744,31.5,32.0,-111.0,-110.5
2745,31.5,32.0,-111.5,-111.0
2746,31.5,32.0,-111.5,-111.0
2747,31.5,32.0,-112.0,-111.5
2028,30.0,30.5,-104.0,-103.5
2282,30.5,31.0,-102.0,-101.5
2281,30.5,31.0,-101.5,-101.0
2027,30.0,30.5,-100.0,-99.5
1901,29.5,30.0,-99.5,-99.0
1902,29.5,30.0,-99.5,-99.0
2150,30.0,30.5,-99.5,-99.0
2151,30.0,30.5,-99.5,-99.0
2152,30.0,30.5,-99.5,-99.0
1897,29.5,30.0,-99.0,-98.5
1898,29.5,30.0,-99.0,-98.5
1899,29.5,30.0,-99.0,-98.5
1900,29.5,30.0,-99.0,-98.5
2147,30.0,30.5,-99.0,-98.5
2148,30.0,30.5,-99.0,-98.5
2149,30.0,30.5,-99.0,-98.5
2511,31.0,31.5,-100.5,-100.0
2512,31.0,31.5,-100.5,-100.0
2513,31.0,31.5,-100.5,-100.0
2514,31.0,31.5,-100.5,-100.0
2515,31.0,31.5,-101.0,-100.5
2516,31.0,31.5,-110.0,-109.5
2517,31.0,31.5,-110.0,-109.5
2518,31.0,31.5,-110.5,-110.0
2519,31.0,31.5,-111.0,-110.5
2520,31.0,31.5,-111.0,-110.5
5982,36.5,37.0,-108.5,-108.0
5981,36.5,37.0,-108.5,-108.0
5980,36.5,37.0,-108.0,-107.5
5682,36.0,36.5,-106.5,-106.0
5680,36.0,36.5,-106.0,-105.5
5681,36.0,36.5,-106.0,-105.5
5679,36.0,36.5,-105.5,-105.0
5227,35.5,36.0,-106.5,-106.0
5226,35.5,36.0,-106.5,-106.0
5225,35.5,36.0,-106.0,-105.5
5224,35.5,36.0,-106.0,-105.5
5223,35.5,36.0,-106.0,-105.5
5222,35.5,36.0,-105.5,-105.0
5221,35.5,36.0,-105.5,-105.0
4819,35.0,35.5,-108.0,-107.5
4818,35.0,35.5,-107.0,-106.5
4817,35.0,35.5,-107.0,-106.5
4816,35.0,35.5,-107.0,-106.5
4815,35.0,35.5,-107.0,-106.5
4814,35.0,35.5,-106.5,-106.0
4813,35.0,35.5,-106.5,-106.0
4374,34.5,35.0,-107.0,-106.5
4373,34.5,35.0,-107.0,-106.5
4372,34.5,35.0,-106.5,-106.0
4041,34.0,34.5,-107.0,-106.5
3742,33.5,34.0,-106.0,-105.5
3463,33.0,33.5,-106.0,-105.5
3464,33.0,33.5,-106.0,-105.5
3465,33.0,33.5,-106.0,-105.5
3466,33.0,33.5,-106.5,-106.0
3467,33.0,33.5,-107.5,-107.0
4034,34.0,34.5,-100.5,-100.0
4035,34.0,34.5,-102.0,-101.5
4036,34.0,34.5,-102.0,-101.5
4037,34.0,34.5,-102.5,-102.0
4038,34.0,34.5,-103.0,-102.5
4039,34.0,34.5,-103.5,-103.0
4040,34.0,34.5,-103.5,-103.0
4368,34.5,35.0,-102.0,-101.5
4369,34.5,35.0,-102.0,-101.5
4370,34.5,35.0,-102.5,-102.0
4371,34.5,35.0,-103.0,-102.5
4806,35.0,35.5,-100.0,-99.5
4807,35.0,35.5,-101.5,-101.0
4808,35.0,35.5,-102.0,-101.5
4809,35.0,35.5,-102.0,-101.5
4810,35.0,35.5,-102.0,-101.5
4811,35.0,35.5,-102.0,-101.5
4812,35.0,35.5,-102.5,-102.0
2973,32.0,32.5,-102.5,-102.0
2972,32.0,32.5,-102.5,-102.0
2971,32.0,32.5,-102.0,-101.5
2970,32.0,32.5,-101.5,-101.0
2969,32.0,32.5,-101.0,-100.5
2968,32.0,32.5,-100.5,-100.0
2967,32.0,32.5,-100.0,-99.5
2966,32.0,32.5,-100.0,-99.5
2965,32.0,32.5,-100.0,-99.5
3185,32.5,33.0,-102.0,-101.5
3184,32.5,33.0,-101.0,-100.5
3183,32.5,33.0,-100.5,-100.0
3182,32.5,33.0,-100.0,-99.5
3459,33.0,33.5,-102.5,-102.0
