ID,timestamp,cellId,dataActive,dataAttached,dataInd,home,lac,operator,status,subsId
3258,1586959442.782839,,,,None,,,Google Fi,NotRegistered,
3259,1586959442.8025131,,,,None,,,,NotRegistered,
3260,1586959442.8031101,,,,None,,,Google Fi,NotRegistered,
3261,1586959442.813385,,,,None,,,Google Fi,RegisteredHome,
3262,1586959442.8951702,,,,2_5G,,,Google Fi,RegisteredHome,
3263,1586959519.963408,,,,4G,,,Google Fi,RegisteredHome,
3264,1586959555.7706501,,,,4G,,,,RegisteredHome,
3265,1586959555.7709312,,,,4G,,,,NotRegistered,
3266,1586959555.7860823,,,,None,,,,NotRegistered,
3267,1586959573.141808,,,,None,,,Google Fi,NotRegistered,
3268,1586959574.566729,,,,None,,,,NotRegistered,
3269,1586959574.567008,,,,None,,,Google Fi,NotRegistered,
3270,1586959576.4933832,,,,None,,,,NotRegistered,
3271,1586959576.4936652,,,,None,,,Google Fi,NotRegistered,
3272,1586959576.4938293,,,,None,,,,NotRegistered,
3273,1586959576.4939733,,,,None,,,Google Fi,NotRegistered,
3274,1586959576.5145073,,,,None,,,Google Fi,RegisteredHome,
3275,1586959576.515556,,,,2_5G,,,Google Fi,RegisteredHome,
3276,1586959591.0247073,,,,4G,,,Google Fi,RegisteredHome,
3277,1586959632.9966693,,,,4G,,,,RegisteredHome,
3278,1586959632.9969463,,,,4G,,,,NotRegistered,
3279,1586959633.0124152,,,,None,,,,NotRegistered,
3280,1586959639.0335612,,,,None,,,Google Fi,NotRegistered,
3281,1586959639.0400991,,,,None,,,Google Fi,RegisteredHome,
3282,1586959639.0421972,,,,4G,,,Google Fi,RegisteredHome,
3283,1586960044.784903,,,,4G,,,,RegisteredHome,
3284,1586960044.7851973,,,,4G,,,,NotRegistered,
3285,1586960044.8030171,,,,None,,,,NotRegistered,
3286,1586960072.369888,,,,None,,,Google Fi,RegisteredHome,
3287,1586960072.3933072,,,,2_5G,,,Google Fi,RegisteredHome,
3288,1586960105.0852323,,,,4G,,,Google Fi,RegisteredHome,
3289,1586960145.9738603,,,,4G,,,,RegisteredHome,
3290,1586960145.974059,,,,4G,,,Google Fi,EmergencyOnly,
3291,1586960145.9752321,,,,None,,,Google Fi,EmergencyOnly,
3292,1586960149.460463,,,,None,,,,EmergencyOnly,
3293,1586960149.4694622,,,,None,,,Google Fi,EmergencyOnly,
3294,1586960178.47619,,,,None,,,,EmergencyOnly,
3295,1586960178.4856122,,,,None,,,Google Fi,EmergencyOnly,
3296,1586960179.301291,,,,None,,,,EmergencyOnly,
3297,1586960179.3023,,,,None,,,Google Fi,EmergencyOnly,
3298,1586960183.078036,,,,None,,,,EmergencyOnly,
3299,1586960183.0989642,,,,None,,,Google Fi,EmergencyOnly,
3300,1586960183.102375,,,,None,,,,EmergencyOnly,
3301,1586960183.1025991,,,,None,,,Google Fi,EmergencyOnly,
3302,1586960183.102757,,,,None,,,Google Fi,RegisteredHome,
3303,1586960183.1139731,,,,2_5G,,,Google Fi,RegisteredHome,
3304,1586960202.9703193,,,,2_5G,,,,RegisteredHome,
3305,1586960202.9714181,,,,2_5G,,,,EmergencyOnly,
3306,1586960202.974276,,,,None,,,,EmergencyOnly,
3307,1586960203.568725,,,,None,,,Google Fi,RegisteredHome,
3308,1586960203.6203823,,,,4G,,,Google Fi,RegisteredHome,
3309,1586960258.2490592,,,,4G,,,,RegisteredHome,
3310,1586960258.249416,,,,4G,,,Google Fi,EmergencyOnly,
3311,1586960258.2529082,,,,None,,,Google Fi,EmergencyOnly,
3312,1586960259.371778,,,,None,,,,EmergencyOnly,
3313,1586960259.381876,,,,None,,,Google Fi,EmergencyOnly,
3314,1586960259.8870962,,,,None,,,,EmergencyOnly,
3315,1586960259.88735,,,,None,,,Google Fi,EmergencyOnly,
3316,1586960260.646145,,,,None,,,Google Fi,RegisteredHome,
3317,1586960260.6523921,,,,4G,,,Google Fi,RegisteredHome,
3318,1586960804.149477,,,,4G,,,,RegisteredHome,
3319,1586960804.149662,,,,4G,,,,NotRegistered,
3320,1586960804.151324,,,,None,,,,NotRegistered,
3321,1586960848.9274921,,,,None,,,,EmergencyOnly,
3322,1586960901.430582,,,,None,,,,NotRegistered,
3323,1586960945.242988,,,,None,,,,EmergencyOnly,
3324,1586960972.4804692,,,,None,,,Google Fi,EmergencyOnly,
3325,1586960972.529659,,,,None,,,Google Fi,RegisteredHome,
3326,1586960972.5331411,,,,4G,,,Google Fi,RegisteredHome,
3327,1586961147.9614651,,,,4G,,,,RegisteredHome,
3328,1586961147.9617472,,,,4G,,,,EmergencyOnly,
3329,1586961147.9705281,,,,None,,,,EmergencyOnly,
3330,1586961241.592288,,,,None,,,Google Fi,RegisteredHome,
3331,1586961242.0101433,,,,2_5G,,,Google Fi,RegisteredHome,
3332,1586961354.0223792,,,,4G,,,Google Fi,RegisteredHome,
3333,1586962428.2523723,,,,4G,,,,RegisteredHome,
3334,1586962428.2525582,,,,4G,,,,NotRegistered,
3335,1586962428.2535691,,,,None,,,,NotRegistered,
3336,1586962465.2726583,,,,None,,,,EmergencyOnly,
3337,1586962486.9787183,,,,None,,,Google Fi,EmergencyOnly,
3338,1586962487.078834,,,,None,,,Google Fi,RegisteredHome,
3339,1586962487.0823803,,,,4G,,,Google Fi,RegisteredHome,
3340,1586962502.4618149,,,,2G,,,Google Fi,RegisteredHome,
3341,1586962502.4731522,,,,2G,,,,RegisteredHome,
3342,1586962502.473324,,,,2G,,,Google Fi,EmergencyOnly,
3343,1586962502.474266,,,,None,,,Google Fi,EmergencyOnly,
3344,1586962502.476706,,,,None,,,,EmergencyOnly,
3345,1586962502.4768538,,,,None,,,Google Fi,EmergencyOnly,
3346,1586962502.476988,,,,None,,,,EmergencyOnly,
3347,1586962502.477122,,,,None,,,Google Fi,EmergencyOnly,
3348,1586962502.477251,,,,None,,,Google Fi,RegisteredHome,
3349,1586962502.480396,,,,2_5G,,,Google Fi,RegisteredHome,
3350,1586962515.193063,,,,2_5G,,,,RegisteredHome,
3351,1586962515.193346,,,,2_5G,,,,NotRegistered,
3352,1586962515.20752,,,,None,,,,NotRegistered,
3353,1586962566.720256,,,,None,,,,EmergencyOnly,
3354,1586962698.179956,,,,None,,,Google Fi,RegisteredHome,
3355,1586962698.398499,,,,4G,,,Google Fi,RegisteredHome,
3356,1586962729.912857,,,,4G,,,,RegisteredHome,
3357,1586962729.913148,,,,4G,,,,NotRegistered,
3358,1586962729.922945,,,,None,,,,NotRegistered,
3359,1586962775.37432,,,,None,,,,EmergencyOnly,
3360,1586962840.522423,,,,None,,,Google Fi,EmergencyOnly,
3361,1586962840.574987,,,,None,,,Google Fi,RegisteredHome,
3362,1586962840.58293,,,,2_5G,,,Google Fi,RegisteredHome,
3363,1586962885.690771,,,,2_5G,,,,RegisteredHome,
3364,1586962885.691065,,,,2_5G,,,,NotRegistered,
3365,1586962885.69895,,,,None,,,,NotRegistered,
3366,1586962952.331386,,,,None,,,,EmergencyOnly,
3367,1586962986.2190342,,,,None,,,Google Fi,EmergencyOnly,
3368,1586962987.2270489,,,,None,,,,EmergencyOnly,
3369,1586962987.2272792,,,,None,,,Google Fi,EmergencyOnly,
3370,1586962987.227436,,,,None,,,Google Fi,RegisteredHome,
3371,1586962987.2347312,,,,2_5G,,,Google Fi,RegisteredHome,
3372,1586963190.183571,,,,None,,,Google Fi,RegisteredHome,
3373,1586963191.42875,,,,2_5G,,,Google Fi,RegisteredHome,
3374,1586963370.9868102,,,,None,,,Google Fi,RegisteredHome,
3375,1586963372.078961,,,,2_5G,,,Google Fi,RegisteredHome,
3376,1586963973.6703022,,,,4G,,,Google Fi,RegisteredHome,
3377,1586963996.5898104,,,,4G,,,,RegisteredHome,
3378,1586963996.5901003,,,,4G,,,Google Fi,EmergencyOnly,
3379,1586963996.5983343,,,,None,,,Google Fi,EmergencyOnly,
3380,1586963999.0243392,,,,None,,,,EmergencyOnly,
3381,1586963999.0246222,,,,None,,,Google Fi,EmergencyOnly,
3382,1586963999.0396762,,,,None,,,,EmergencyOnly,
3383,1586963999.039853,,,,None,,,Google Fi,EmergencyOnly,
3384,1586963999.0399992,,,,None,,,Google Fi,RegisteredHome,
3385,1586963999.079647,,,,2_5G,,,Google Fi,RegisteredHome,
3386,1586964124.478715,,,,4G,,,Google Fi,RegisteredHome,
3387,1586964148.3338223,,,,2G,,,Google Fi,RegisteredHome,
3388,1586964150.1842132,,,,2G,,,,RegisteredHome,
3389,1586964150.184492,,,,2G,,,Google Fi,EmergencyOnly,
3390,1586964150.1861663,,,,None,,,Google Fi,EmergencyOnly,
3391,1586964151.5506272,,,,None,,,,EmergencyOnly,
3392,1586964151.5509143,,,,None,,,Google Fi,EmergencyOnly,
3393,1586964151.551083,,,,None,,,,EmergencyOnly,
3394,1586964151.5512362,,,,None,,,Google Fi,EmergencyOnly,
3395,1586964151.551374,,,,None,,,Google Fi,RegisteredHome,
3396,1586964151.562602,,,,2_5G,,,Google Fi,RegisteredHome,
3397,1586964447.7167,,,,2_5G,,,,RegisteredHome,
3398,1586964447.7169833,,,,2_5G,,,,NotRegistered,
3399,1586964447.7271862,,,,None,,,,NotRegistered,
3400,1586964513.327612,,,,None,,,,EmergencyOnly,
3401,1586964592.598548,,,,None,,,Google Fi,EmergencyOnly,
3402,1586964592.6434531,,,,None,,,,EmergencyOnly,
3403,1586964592.6436772,,,,None,,,Google Fi,EmergencyOnly,
3404,1586964592.6438282,,,,None,,,Google Fi,RegisteredHome,
3405,1586964592.648036,,,,2_5G,,,Google Fi,RegisteredHome,
3406,1586964625.3878412,,,,2_5G,,,,RegisteredHome,
3407,1586964625.388118,,,,2_5G,,,,NotRegistered,
3408,1586964625.402997,,,,None,,,,NotRegistered,
3409,1586964684.529881,,,,None,,,,EmergencyOnly,
3410,1586964758.2182832,,,,None,,,Google Fi,EmergencyOnly,
3411,1586964758.3066921,,,,None,,,,EmergencyOnly,
3412,1586964758.3077002,,,,None,,,Google Fi,EmergencyOnly,
3413,1586964758.3086712,,,,None,,,Google Fi,RegisteredHome,
3414,1586964758.3114603,,,,2_5G,,,Google Fi,RegisteredHome,
3415,1586964804.3904212,,,,2_5G,,,,RegisteredHome,
3416,1586964804.390706,,,,2_5G,,,,NotRegistered,
3417,1586964804.406258,,,,None,,,,NotRegistered,
3418,1586964862.467384,,,,None,,,,EmergencyOnly,
3419,1586964995.5022082,,,,None,,,Google Fi,EmergencyOnly,
3420,1586964995.5678082,,,,None,,,,EmergencyOnly,
3421,1586964995.568016,,,,None,,,Google Fi,EmergencyOnly,
3422,1586964995.5681663,,,,None,,,Google Fi,RegisteredHome,
3423,1586964995.586555,,,,2_5G,,,Google Fi,RegisteredHome,
3424,1586965649.0352483,,,,2_5G,,,,RegisteredHome,
3425,1586965649.035594,,,,2_5G,,,,NotRegistered,
3426,1586965649.0539432,,,,None,,,,NotRegistered,
3427,1586965712.3967712,,,,None,,,,EmergencyOnly,
3428,1586966042.608305,,,,None,,,Google Fi,EmergencyOnly,
3429,1586966042.625817,,,,None,,,,EmergencyOnly,
3430,1586966042.626023,,,,None,,,Google Fi,EmergencyOnly,
3431,1586966042.626188,,,,None,,,Google Fi,RegisteredHome,
3432,1586966042.630434,,,,2_5G,,,Google Fi,RegisteredHome,
3433,1586966073.796307,,,,2_5G,,,,RegisteredHome,
3434,1586966073.8042302,,,,2_5G,,,,NotRegistered,
3435,1586966073.805433,,,,None,,,,NotRegistered,
3436,1586966136.4041872,,,,None,,,,EmergencyOnly,
3437,1586966272.1841803,,,,None,,,Google Fi,EmergencyOnly,
3438,1586966272.252762,,,,None,,,,EmergencyOnly,
3439,1586966272.252994,,,,None,,,Google Fi,EmergencyOnly,
3440,1586966272.2531462,,,,None,,,Google Fi,RegisteredHome,
3441,1586966272.256843,,,,2_5G,,,Google Fi,RegisteredHome,
3442,1586966315.5247803,,,,2_5G,,,,RegisteredHome,
3443,1586966315.5250583,,,,2_5G,,,,NotRegistered,
3444,1586966315.5501761,,,,None,,,,NotRegistered,
3445,1586966360.757352,,,,None,,,,EmergencyOnly,
3446,1586966618.33217,,,,None,,,Google Fi,EmergencyOnly,
3447,1586966618.4635072,,,,None,,,,EmergencyOnly,
3448,1586966618.4637382,,,,None,,,Google Fi,EmergencyOnly,
3449,1586966618.4638882,,,,None,,,Google Fi,RegisteredHome,
3450,1586966618.4718442,,,,2_5G,,,Google Fi,RegisteredHome,
3451,1586966628.4857163,,,,4G,,,Google Fi,RegisteredHome,
3452,1586988998.6494393,,,,2G,,,Google Fi,RegisteredHome,
3453,1586988999.8667102,,,,2_5G,,,Google Fi,RegisteredHome,
3454,1586989004.6671572,,,,2_5G,,,,RegisteredHome,
3455,1586989004.6679254,,,,2_5G,,,,NotRegistered,
3456,1586989004.7004442,,,,None,,,,NotRegistered,
3457,1586989009.311417,,,,None,,,Google Fi,NotRegistered,
3458,1586989009.321618,,,,None,,,,NotRegistered,
3459,1586989009.321773,,,,None,,,Google Fi,NotRegistered,
3460,1586989009.321906,,,,None,,,Google Fi,RegisteredHome,
3461,1586989020.5712624,,,,None,,,,RegisteredHome,
3462,1586989020.5715492,,,,None,,,,NotRegistered,
3463,1586989066.0693781,,,,None,,,Google Fi,NotRegistered,
3464,1586989066.0861511,,,,None,,,Google Fi,RegisteredHome,
3465,1586989067.946444,,,,2_5G,,,Google Fi,RegisteredHome,
3466,1586989076.2876942,,,,4G,,,Google Fi,RegisteredHome,
3467,1587000356.924705,,,,4G,,,Google Fi,RegisteredHome,
3468,1587052459.311618,,,,4G,,,Google Fi,RegisteredHome,
