containerIdentifier,containerEnvironment,publicCloudDBURL,publicShareServiceURL,publicDeviceServiceURL,publicCodeServiceURL,publicMetricsServiceURL,publicDatabaseRPCServiceURL,scopedUserID,orgAdminUserID,accountID,expirationDate
com.apple.notes,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p13.ckdatabaserpc.icloud.com:443,_2059b5c2ab5206967ff351966be73cf9,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.KeyValueService.EndToEndEncrypted,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p56.ckdatabaserpc.icloud.com:443,_e9908b67d70e7beb6a4295d3ce892a91,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.Maps.Sync,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p40.ckdatabaserpc.icloud.com:443,_55308dbe176372014b6f51cb21e04331,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.Maps.Sync.secure,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p67.ckdatabaserpc.icloud.com:443,_597fa5683f27738debcf131a0d9bd0df,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.accessibility.RTTTranscripts,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p49.ckdatabaserpc.icloud.com:443,_8131788f699cf373cb976e4d3961d6ae,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.coreidv.server-messages,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p23.ckdatabaserpc.icloud.com:443,_c0f8a20a03ddcec000738fc4c2bb2537,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.health.sync.secure,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p40.ckdatabaserpc.icloud.com:443,_391c85b2f069f682d61f497ec6042c07,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.health.sync,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p40.ckdatabaserpc.icloud.com:443,_f5a9ba0a75b81f26e70bf1f8b3730a76,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.news.private,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_05c32824f016da28a5c559d65da19916,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.news.private.secure,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p26.ckdatabaserpc.icloud.com:443,_1771769e2bdfc893eeabff505f408818,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.stocks.private,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p68.ckdatabaserpc.icloud.com:443,_5169dff98053fe2d832fe9d887098f61,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
