ID,timestamp,timestampLogged,BBDate,C0TBSzArr_0,C0TBSzArr_1,C0TBSzArr_2,C0TBSzArr_3,C0TBSzArr_4,C0TBSzArr_5,C0TBSzArr_6,C0TBSzArr_7,C0TBSzArr_8,C0TBSzArr_9,C0TBSzArr_10,C0TBSzArr_11,C0TBSzArr_12,C0TBSzArr_13,C0TBSzArr_14,C0TBSzArr_15,C1TBSzArr_0,C1TBSzArr_1,C1TBSzArr_2,C1TBSzArr_3,C1TBSzArr_4,C1TBSzArr_5,C1TBSzArr_6,C1TBSzArr_7,C1TBSzArr_8,C1TBSzArr_9,C1TBSzArr_10,C1TBSzArr_11,C1TBSzArr_12,C1TBSzArr_13,C1TBSzArr_14,C1TBSzArr_15,CAFreqInfo_0,CAFreqInfo_1,CAFreqInfo_2,CAFreqInfo_3,CASCCStateArr_0,CASCCStateArr_1,CASCCStateArr_2,CASCCStateArr_3,DupMode,LogDuration,SeqNum,SleepStateArr_0,SleepStateArr_1,SleepStateArr_2,SleepStateArr_3,SleepStateArr_4,SleepStateArr_5,TxPwrBktArr_0,TxPwrBktArr_1,TxPwrBktArr_2,TxPwrBktArr_3,TxPwrBktArr_4,TxPwrBktArr_5,TxPwrBktArr_6,TxPwrBktArr_7,TxPwrBktArr_8,TxPwrBktArr_9,TxPwrBktArr_10,TxPwrBktArr_11,kRfActRxTxArr_0,kRfActRxTxArr_1,kRfActRxTxArr_2,kRfActRxTxArr_3,kRfActRxTxArr_4,kRfActRxTxArr_5
25331,1586915584.939608,1586915607.886125,1586915555.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,122,0,0,0,122.0,52,0,122,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25332,1586915619.040608,1586915786.455501,1586915589.835,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,1117301,0,0,0,1117301.0,69,0,128561,131,2588,1474,984570,1113732,0,0,0,0,0,0,0,1670,851,524,524,0,884,3505,68050,32,0
25333,1586915655.939608,1586915786.4742951,1586915626.734,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,1208990,0,0,0,1208990.0,80,0,80814,0,0,0,1128199,1208990,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,0
25334,1586915682.5576081,1586915786.480837,1586915653.352,0,720,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,872117,0,0,0,872117.0,89,0,65819,131,753,0,805437,871037,0,0,0,0,0,0,0,393,0,262,425,0,720,1015,11500,32,0
25335,1586915682.5616078,1586915786.4824553,1586915653.356,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,132,0,0,0,132.0,90,0,132,0,0,0,0,100,0,0,0,0,0,0,0,32,0,0,0,0,32,32,98,0,0
25336,1586915707.757608,1586915786.4872413,1586915678.552,0,622,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,825545,0,0,0,825545.0,103,0,145437,0,13662,2457,664020,821092,0,0,0,0,0,0,0,1670,2227,196,360,0,688,4455,113461,0,0
25337,1586915707.762608,1586915786.489038,1586915678.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,157,0,0,0,157.0,104,0,0,0,0,0,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25338,1586915726.0556078,1586915786.4929671,1586915696.85,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,599367,0,0,0,599366.0,110,0,41874,0,0,0,557504,599367,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0
25339,1586915726.060608,1586915786.4997861,1586915696.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,159,0,0,0,160.0,111,0,1,0,0,0,158,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25340,1586915786.078608,1586915786.507247,1586915756.873,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,1966461,0,0,0,1966461.0,127,0,126322,0,0,0,1840175,1966461,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0
25341,1586915786.0886078,1586916335.3156762,1586915756.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,314,0,0,0,314.0,128,0,0,0,0,0,314,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25342,1586915850.2596078,1586916335.329297,1586915821.054,0,1310,0,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,2102546,0,0,0,2102546.0,147,0,149050,131,753,0,1952636,2100154,0,0,0,0,0,0,0,0,0,196,2195,0,1343,2326,9403,32,0
25343,1586915850.262608,1586916335.337347,1586915821.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,87,0,0,0,87.0,148,0,87,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25344,1586916047.9186082,1586916335.350543,1586916018.713,0,3997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,6476121,0,0,0,6476121.0,207,0,482097,1507,11893,851,5979902,6466753,0,0,0,0,0,0,1146,458,655,2129,4980,0,3931,9272,80075,65,0
25345,1586916047.9246082,1586916335.357246,1586916018.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,180,0,0,0,179.0,208,0,1,0,0,0,179,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25346,1586916078.8446078,1586916335.3616672,1586916049.639,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,1013091,0,0,0,1013092.0,215,0,72399,786,0,0,939969,1013091,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,0
