TileX,TileY,SouthwestLatitude,SouthwestLongitude,DeltaLatitude,DeltaLongitude,Altitude,MinimumAltitude,MaximumAltitude,GenerationTimestamp,ExpirationAge,Version,Flags,NumberOfIndexEntries,AccessTimestamp,GizmoSyncTimestamp,NumberOfInputPoints
1009500,1256500,35.650001525878906,-79.05000305175781,0.05000000074505806,0.05000000074505806,80.80000305175781,67.95999908447266,106.56999969482422,608519802,0,381,0,130,608519802,0,278
1010000,1256500,35.650001525878906,-79.0,0.05000000074505806,0.05000000074505806,93.41999816894531,78.68000030517578,107.80000305175781,608519802,0,381,0,205,608519802,0,1065
1009500,1257000,35.70000076293945,-79.05000305175781,0.05000000074505806,0.05000000074505806,86.12999725341797,67.30000305175781,93.18000030517578,608519802,0,381,0,68,608519802,0,67
1010000,1257000,35.70000076293945,-79.0,0.05000000074505806,0.05000000074505806,90.83000183105469,77.44999694824219,105.81999969482422,608519802,0,381,0,237,608519802,0,891
1009500,1257500,35.75,-79.05000305175781,0.05000000074505806,0.05000000074505806,107.43000030517578,74.63999938964844,142.5800018310547,608519802,0,381,0,242,608519802,0,529
1010000,1257500,35.75,-79.0,0.05000000074505806,0.05000000074505806,92.68000030517578,79.02999877929688,106.91000366210938,608519802,0,381,0,218,608519802,0,969
1010500,1257500,35.75,-78.94999694824219,0.05000000074505806,0.05000000074505806,100.79000091552734,78.81999969482422,118.1500015258789,608519802,0,381,0,250,608519802,0,8469
1011000,1257500,35.75,-78.9000015258789,0.05000000074505806,0.05000000074505806,115.48999786376953,84.33000183105469,149.6300048828125,608519802,0,381,0,248,608519802,0,33021
1011500,1257500,35.75,-78.8499984741211,0.05000000074505806,0.05000000074505806,124.29000091552734,93.0,155.97999572753906,608519802,0,381,0,249,608519802,0,46047
1012000,1257500,35.75,-78.80000305175781,0.05000000074505806,0.05000000074505806,140.7899932861328,110.06999969482422,162.97000122070312,608519802,0,381,0,250,608519802,0,44897
1012500,1257500,35.75,-78.75,0.05000000074505806,0.05000000074505806,137.17999267578125,96.08000183105469,155.52000427246094,608519802,0,381,0,249,608519802,0,48626
1009500,1258000,35.79999923706055,-79.05000305175781,0.05000000074505806,0.05000000074505806,91.66000366210938,75.83999633789062,200.4199981689453,608519802,0,381,0,247,608519802,0,4051
1010000,1258000,35.79999923706055,-79.0,0.05000000074505806,0.05000000074505806,87.80000305175781,75.98999786376953,100.11000061035156,608519802,0,381,0,158,608519802,0,343
1010500,1258000,35.79999923706055,-78.94999694824219,0.05000000074505806,0.05000000074505806,95.08000183105469,75.08999633789062,120.91999816894531,608519802,0,381,0,247,608519802,0,29322
1011000,1258000,35.79999923706055,-78.9000015258789,0.05000000074505806,0.05000000074505806,107.19000244140625,82.79000091552734,126.70999908447266,608519803,0,381,0,249,608519803,0,38951
1011500,1258000,35.79999923706055,-78.8499984741211,0.05000000074505806,0.05000000074505806,104.77999877929688,87.12999725341797,139.77000427246094,608519803,0,381,0,249,608519803,0,42446
1012000,1258000,35.79999923706055,-78.80000305175781,0.05000000074505806,0.05000000074505806,127.91000366210938,86.47000122070312,196.6699981689453,608519803,0,381,0,249,608519803,0,33303
1012500,1258000,35.79999923706055,-78.75,0.05000000074505806,0.05000000074505806,125.91000366210938,72.3499984741211,151.3699951171875,608519803,0,381,0,248,608519803,0,32759
1009500,1254500,35.45000076293945,-79.05000305175781,0.05000000074505806,0.05000000074505806,135.9499969482422,93.41999816894531,150.30999755859375,608603500,0,381,0,220,608603500,0,705
1010000,1254500,35.45000076293945,-79.0,0.05000000074505806,0.05000000074505806,104.70999908447266,44.38999938964844,125.1500015258789,608603500,0,381,0,183,608603500,0,193
1010500,1254500,35.45000076293945,-78.94999694824219,0.05000000074505806,0.05000000074505806,80.4800033569336,42.630001068115234,121.05000305175781,608603500,0,381,0,80,608603500,0,82
1011000,1254500,35.45000076293945,-78.9000015258789,0.05000000074505806,0.05000000074505806,102.5999984741211,46.099998474121094,119.68000030517578,608603500,0,381,0,210,608603500,0,449
1011500,1254500,35.45000076293945,-78.8499984741211,0.05000000074505806,0.05000000074505806,91.19999694824219,53.58000183105469,108.73999786376953,608603500,0,381,0,222,608603500,0,2258
1012000,1254500,35.45000076293945,-78.80000305175781,0.05000000074505806,0.05000000074505806,87.08000183105469,59.849998474121094,99.76000213623047,608603500,0,381,0,243,608603500,0,4176
1012500,1254500,35.45000076293945,-78.75,0.05000000074505806,0.05000000074505806,86.7699966430664,68.98999786376953,104.66000366210938,608603500,0,381,0,243,608603500,0,1949
1800000,900000,0.0,0.0,0.05000000074505806,0.05000000074505806,-19.3700008392334,-39.84000015258789,-5.869999885559082,608670936,0,381,0,28,608670936,0,90
