issuerNameHash,issuerPubKeyHash,serialNum,hashAlgorithm,responseId,certStatus
b'~\xe6j\xe7r\x9a\xb3\xfc\xf8\xa2 dl\x16\xa1-`q\x08]',b'\xa8Jjc\x04}\xdd\xba\xe6\xd19\xb7\xa6Ee\xef\xf3\xa8\xec\xa1',b'\x03\xbb=h\x1b\n\x05\xe5\xb3\x80Jv\xa9\xce\x9f\x8d\x1cj',b'+\x0e\x03\x02\x1a',607,0
b'C\x0b\xd2\x0eO\x13z\x1al\x91\x8f$\xe5\xda~2MG3\xc8',b'\x8d\x8c^\xc4T\xad\x8a\xe1w\xe9\x9b\xf9\x9b\x05\xe1\xb8\x01\x8da\xe1',"b'}\xdb\x00X\x9f\x82]\xc6\xe1\rQr5j,\x8d'",b'+\x0e\x03\x02\x1a',609,0
b'\xcf\x94\xdc\\0J\xa7\x94\x85r\x1f\x95ng\x89Z\xc2\x16W\xdd',"b'\xf6\x85\n;\x11\x86\xe1\x04}\x0e\xaa\x0b,\xd2\xee\xccd{{\xae'",b'\x1d~$q\xe8\xb8\xcb\xb19\xab*\xcb\xc4\x86\xf9\xdf',b'+\x0e\x03\x02\x1a',611,0
b'I\xf4\xbd\x8a\x18\xbfv\x06\x98\xc5\xde@-h;qj\xe4\xe6\x86',b'=\xd3P\xa5\xd6\xa0\xad\xee\xf3J`\ne\xd3!\xd4\xf8\xf8\xd6\x0f',"b'\x0e\x8e\x12\xae\x104[=\xce\xeeC\xb8\xee\xd3\x94""'",b'+\x0e\x03\x02\x1a',615,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',"b'\x0e0\x1fV""\xf8U[\xa4\xa2\xdb\xfa*\xa8C\xca'",b'+\x0e\x03\x02\x1a',626,0
b'\xcf\x94\xdc\\0J\xa7\x94\x85r\x1f\x95ng\x89Z\xc2\x16W\xdd',"b'\xf6\x85\n;\x11\x86\xe1\x04}\x0e\xaa\x0b,\xd2\xee\xccd{{\xae'","b'\x00\xd1}\x1cG""\xb9\xceK\xf0\xaa\x13\xc4F\x02\xc2\xfa'",b'+\x0e\x03\x02\x1a',629,0
b'3\xf5\xaa\xc6\x1df\xe7\x05]\x03\x17:M\x1f>\x18q8\x85\r',"b""Y\xa4f\x06R\xa0{\x95\x92<\xa3\x94\x07'\x96t[\xf9=\xd0""","b'\x07\xd0\xa2\x81\xf7\xeb\x84\x94\xa9\x89\xd9Uu,\x04&'",b'+\x0e\x03\x02\x1a',633,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\r.\xd0$Y<T\xd5t\x99(l\xb3d\x0b\x84',b'+\x0e\x03\x02\x1a',634,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\x0c\x07\x08\xf8U\x1b\x12[\xcb~\x876\xd77\xa1\x86',b'+\x0e\x03\x02\x1a',635,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\n\x8a9\x1fQ}R\xd1\xb9\x00Z\xb5\xc2\xe53\xf4',b'+\x0e\x03\x02\x1a',638,0
b'\xdf\xaa\x12\xe3(\xb1\tA\x93\xe2\x9fB\x82\xceG@B\x95X\xa3',b'\xb1>\xc3i\x03\xf8\xbfG\x01\xd4\x98&\x1a\x08\x02\xefcd+\xc3',b'\x08\x11@VK\xab\xce\x94\xcb\xee\t\n(h\xf4\x9d',b'+\x0e\x03\x02\x1a',648,0
b'\xdf\xaa\x12\xe3(\xb1\tA\x93\xe2\x9fB\x82\xceG@B\x95X\xa3',b'\xb1>\xc3i\x03\xf8\xbfG\x01\xd4\x98&\x1a\x08\x02\xefcd+\xc3',b'\x0cy\xa9D\xb0\x8c\x11\x95 \x92a_\xe2k\x1d\x83',b'+\x0e\x03\x02\x1a',649,0
b'~\xe6j\xe7r\x9a\xb3\xfc\xf8\xa2 dl\x16\xa1-`q\x08]',b'\xa8Jjc\x04}\xdd\xba\xe6\xd19\xb7\xa6Ee\xef\xf3\xa8\xec\xa1',b'\x03\x1eo\r\xef!n\x920\x04\x98\n\xd4\x9e.\x1cT\xf1',b'+\x0e\x03\x02\x1a',655,0
b'~\xe6j\xe7r\x9a\xb3\xfc\xf8\xa2 dl\x16\xa1-`q\x08]',b'\xa8Jjc\x04}\xdd\xba\xe6\xd19\xb7\xa6Ee\xef\xf3\xa8\xec\xa1',b'\x04\xef=\xdf\xba\xd6\x02\\\x0b\xb2\xfe\xfe\x8f\x128\xdbt\x14',b'+\x0e\x03\x02\x1a',659,0
b'\xcd0\xd2L4:\x82\xab\x1f\x05p\x15\x8a\xd7\xa1\x07v)\x92\xe9',b'Sy\xbfZ\xaa+J\xcfT\x80\xe1\xd8\x9b\xc0\x9d\xf2\xb2\x03f\xcb',b'}[Q&\xb4v\xba\x11\xdbt\x16\x0b\xbcS\r\xa7',b'+\x0e\x03\x02\x1a',667,0
