ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11529,1586916716.955608,1586916911.0590482,1586916687.75,2256,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 d03b68d9 a29969d9 ... 00000000 00000000 }",3647576482,3647486928,2733,3
11530,1586916941.915608,1586917237.383378,1586916912.71,3875,0,45452,0,0,"{length = 40, bytes = 0x03000000 004aaaa7 1807d8d9 5f11dad9 ... 00000000 00000000 }",3654947167,3654813464,4081,3
11531,1586916952.718608,1586917237.385109,1586916923.513,7939,0,45452,34,1,"{length = 40, bytes = 0x03000000 01592424 e8d2dad9 0278dfd9 ... 22000000 03000000 }",3655301122,3654996712,9291,3
11532,1586916979.235608,1586917237.3960829,1586916950.03,4141,0,45452,0,0,"{length = 40, bytes = 0x03000000 003a6da8 d690ead9 d5b9ecd9 ... 00000000 00000000 }",3656169941,3656028374,4321,3
11533,1586916990.828608,1586917237.397122,1586916961.623,8904,0,45452,21,1,"{length = 40, bytes = 0x03000000 01bbec00 ed5dedd9 9385f2d9 ... 15000000 03000000 }",3656549779,3656211949,10311,3
11534,1586917598.336608,1586917740.9476092,1586917569.131,70375,0,45452,0,0,"{length = 40, bytes = 0x03000000 0000ff7f 6781feda 583e22db ... 00000000 00000000 }",3676454488,3674112359,71485,3
11535,1586917612.2256079,1586917740.9486713,1586917583.02,4130,0,45452,188,1,"{length = 40, bytes = 0x03000000 01f8ffff 876126db f02f29db ... 2f000000 00000000 }",3676909552,3676725639,5613,3
11536,1586917620.3266082,1586917740.950325,1586917591.121,1482,0,45452,0,0,"{length = 40, bytes = 0x03000000 00bbec00 bc732cdb c33c2ddb ... 00000000 00000000 }",3677174979,3677123516,1571,3
11537,1586917630.7416081,1586917740.9509811,1586917601.536,2733,0,45452,109,1,"{length = 40, bytes = 0x03000000 01209a46 16c730db bb7132db ... 25000000 04000000 }",3677516219,3677406998,3334,3
11538,1586917664.4766078,1586917740.9530892,1586917635.271,4573,0,45452,0,0,"{length = 40, bytes = 0x03000000 007aa9a4 8ded40db 5e4f43db ... 00000000 00000000 }",3678621534,3678465421,4765,3
11539,1586917681.551608,1586917740.9537883,1586917652.346,13629,0,45452,39,1,"{length = 40, bytes = 0x03000000 01000000 63e543db bcd84bdb ... 1d000000 03000000 }",3679180988,3678659939,15903,3
11540,1586917726.257608,1586917740.9554262,1586917697.052,2353,0,45452,0,0,"{length = 40, bytes = 0x03000000 00faaaa5 c3ef60db 823262db ... 00000000 00000000 }",3680645762,3680563139,2522,3
11541,1586917745.132608,1586918343.374766,1586917715.927,2745,0,45452,36,1,"{length = 40, bytes = 0x03000000 01000000 b9f369db 40a26bdb ... 24000000 03000000 }",3681264192,3681153977,3364,3
11542,1586918741.268608,1586919534.28127,1586918712.063,1177,0,45452,0,0,"{length = 40, bytes = 0x03000000 00ba2aaa 15065ddd 05a65ddd ... 00000000 00000000 }",3713902085,3713861141,1250,3
11543,1586918757.2126079,1586919534.2833123,1586918728.007,1700,0,45452,0,1,"{length = 40, bytes = 0x03000000 0100b800 b69264dd 9c9e65dd ... 00000000 00000000 }",3714424476,3714355894,2093,3
11544,1586919002.4296079,1586919534.2981372,1586918973.224,2410,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 09eededd 0a37e0dd ... 00000000 00000000 }",3722458890,3722374665,2571,3
