Z_PK,Z_ENT,Z_OPT,ZCHANNEL,ZRSSI,ZFINGERPRINT,ZAGE,ZDATE,ZMAC
23051,22,1,161,-77,557,3.293,608241929.428947,f8:bb:bf:1e:fa:e4
23052,22,1,44,-75,557,4.136,608241928.585964,82:ce:62:71:b6:a1
23053,22,1,44,-51,557,4.143,608241928.579007,f8:bb:bf:8d:b9:c6
23054,22,1,1,0,557,6.274,608241926.4481479,f8:bb:bf:1e:fa:e9
23055,22,1,3,0,557,5.929,608241926.793082,24:f5:a2:b3:b3:61
23056,22,1,44,-70,557,4.105,608241928.616982,f8:bb:bf:1e:fa:eb
23057,22,1,44,-51,557,4.143,608241928.578998,f8:bb:bf:8d:b9:c2
23058,22,1,1,0,557,6.225,608241926.497106,f8:bb:bf:8d:b9:c5
23059,22,1,1,-30,557,6.328,608241926.39399,f8:bb:bf:8d:b9:c1
23060,22,1,44,-70,557,4.105,608241928.6169729,f8:bb:bf:1e:fa:e5
23061,22,1,1,-49,557,0.422,608242013.173221,f8:bb:bf:1e:fa:e3
23062,22,1,1,-29,557,0.476,608242013.1192571,f8:bb:bf:8d:b9:c5
23063,22,1,1,-77,557,0.439,608242013.1561639,f8:bb:bf:90:a8:f3
23064,22,1,1,-76,557,0.44,608242013.1551989,f8:bb:bf:90:a8:f9
23065,22,1,1,-50,557,0.422,608242013.173204,f8:bb:bf:1e:fa:ef
23066,22,1,6,-77,557,0.186,608242013.409193,b8:66:85:53:d3:6
23067,22,1,1,-50,557,0.423,608242013.17221,f8:bb:bf:1e:fa:e9
23068,22,1,1,-80,557,0.428,608242013.167139,18:a6:f7:2e:b3:e7
23069,22,1,1,-29,557,0.475,608242013.1202509,f8:bb:bf:8d:b9:c3
23070,22,1,1,-87,557,0.414,608242013.180777,80:da:13:72:52:66
23071,22,1,1,-49,557,0.422,608242013.1732149,f8:bb:bf:1e:fa:e6
23072,22,1,6,-78,557,0.21,608242013.385159,3c:17:10:9e:1:16
23073,22,1,6,-78,557,0.284,608242013.311147,b4:fb:e4:29:90:c
23074,22,1,1,-30,557,0.476,608242013.1192261,f8:bb:bf:8d:b9:c9
23075,22,1,1,-78,557,0.44,608242013.1551529,f8:bb:bf:90:a8:f1
23076,22,1,11,0,557,0.039,608242013.556268,76:83:c2:17:fd:92
23077,22,1,1,-28,557,0.476,608242013.119263,f8:bb:bf:8d:b9:c1
23078,22,1,2,-77,561,2.535,608321291.489236,78:d2:94:8:c5:49
23079,22,1,11,-83,561,2.612,608321291.412187,10:da:43:eb:1f:54
23080,22,1,4,-71,561,20.395,608321273.629308,50:6a:3:c9:e0:8a
23081,22,1,1,-76,561,2.594,608321291.430244,a0:4:60:3f:d2:94
23082,22,1,1,-86,561,2.549,608321291.4751539,fc:ec:da:b7:a9:77
23083,22,1,11,-72,561,1.936,608321292.088292,50:6a:3:aa:7a:a3
23084,22,1,1,-68,561,2.58,608321291.4451599,a8:bd:27:c9:8e:24
23085,22,1,149,-79,561,2.198,608321291.826203,a8:bd:27:c9:8e:30
23086,22,1,11,-78,561,20.598,608321273.4262279,82:2a:a8:44:bd:c3
23087,22,1,36,-89,561,2.382,608321291.6421441,a0:64:8f:e1:65:f8
23088,22,1,8,-76,561,20.707,608321273.31726,10:da:43:90:f2:9f
23089,22,1,1,-64,561,2.585,608321291.440169,a4:11:62:55:e2:f0
23090,22,1,2,-90,561,20.479,608321273.545135,9c:3d:cf:21:28:a0
23091,22,1,11,-70,561,2.628,608321291.397131,92:32:4b:a:32:d8
23092,22,1,5,-72,561,2.418,608321291.606284,50:c7:bf:6f:50:59
23093,22,1,6,-71,561,20.722,608321273.3023,34:fc:b9:32:d:e2
23094,22,1,6,-73,561,2.834,608321291.190276,18:60:24:3e:82:8d
23095,22,1,40,-90,561,20.279,608321273.745121,70:77:81:dd:dd:a2
23096,22,1,149,-79,561,20.161,608321273.863211,a8:bd:27:8f:dc:f0
23097,22,1,1,-85,561,20.547,608321273.4771789,8a:8a:20:b1:c7:35
23098,22,1,11,-80,561,20.562,608321273.4621949,d0:bf:9c:c2:29:f7
23099,22,1,149,-79,561,2.198,608321291.8262191,a8:bd:27:c9:8e:33
23100,22,1,1,-86,561,2.6,608321291.424162,fe:ec:da:b7:a9:77
23101,22,1,11,-68,561,2.696,608321291.32915,70:77:81:dd:dd:a1
23102,22,1,8,-76,561,20.705,608321273.319252,12:da:43:90:f2:a0
23103,22,1,1,-85,561,2.571,608321291.453171,78:71:9c:5e:ed:d0
23104,22,1,1,-74,561,2.588,608321291.436268,d8:d7:75:d5:e3:32
23105,22,1,1,0,561,3.489,608321294.79338,82:2a:a8:44:bd:13
23106,22,1,1,-86,561,3.532,608321294.7502911,7a:8a:20:b1:c7:35
23107,22,1,149,-88,561,2.468,608321295.8142879,3c:28:6d:6b:7f:f3
23108,22,1,3,-82,561,3.24,608321295.042311,dc:ef:9:e1:18:24
23109,22,1,153,-72,561,2.44,608321295.8423619,8:bd:43:d3:18:23
23110,22,1,149,-77,561,2.526,608321295.756335,a8:bd:27:c9:8e:30
23111,22,1,1,-85,561,6.892,608321291.390296,78:71:9c:5e:ed:d0
23112,22,1,149,-76,561,2.526,608321295.756343,a8:bd:27:c9:8e:33
23113,22,1,1,0,561,3.383,608321294.899377,8:bd:43:d3:18:21
23114,22,1,11,-80,561,24.883,608321273.399317,d0:bf:9c:c2:29:f7
23115,22,1,11,-80,561,3.686,608321294.596319,80:2a:a8:44:bd:c3
23116,22,1,1,-86,561,6.921,608321291.361294,fe:ec:da:b7:a9:77
23117,22,1,6,0,561,3.085,608321295.1973829,60:31:97:5:30:b8
23118,22,1,40,-90,561,2.891,608321295.3912749,70:77:81:dd:dd:a2
23119,22,1,6,-73,561,7.156,608321291.126357,18:60:24:3e:82:8d
23120,22,1,1,-83,561,3.404,608321294.878305,78:8a:20:b1:c7:35
23121,22,1,11,-76,561,2.008,608321296.274346,50:6a:3:aa:7a:a3
23122,22,1,149,-78,561,2.568,608321295.714333,a8:bd:27:8f:dc:f0
23123,22,1,11,-79,561,3.651,608321294.631325,60:31:97:2:c5:78
23124,22,1,44,-84,561,2.692,608321295.590299,34:fc:b9:32:d:f0
23125,22,1,5,-72,561,3.12,608321295.162359,50:c7:bf:6f:50:59
23126,22,1,36,-90,561,3.017,608321295.265285,a0:64:8f:e1:65:f8
23127,22,1,4,-71,561,3.228,608321295.054364,50:6a:3:c9:e0:8a
23128,22,1,2,-90,561,24.8,608321273.4822811,9c:3d:cf:21:28:a0
23129,22,1,6,-69,561,3.027,608321295.255367,34:fc:b9:32:d:e2
23130,22,1,8,-74,561,3.933,608321294.349354,10:da:43:90:f2:9f
23131,22,1,6,-80,561,4.173,608321294.1093221,60:31:97:4:5c:d0
23132,22,1,11,-76,561,3.65,608321294.632341,92:32:4b:a:32:d8
23133,22,1,1,-68,561,3.483,608321294.799372,a8:bd:27:c9:8e:24
23134,22,1,11,-78,561,24.92,608321273.3623271,82:2a:a8:44:bd:c3
23135,22,1,5,-81,561,3.066,608321295.216314,a0:64:8f:e1:65:f7
23136,22,1,1,-74,561,3.423,608321294.859351,a0:4:60:3f:d2:94
23137,22,1,1,-82,561,3.378,608321294.904308,8a:8a:20:b1:c7:35
23138,22,1,11,-69,561,2.0,608321296.28237,70:77:81:dd:dd:a1
23139,22,1,8,-78,561,4.136,608321294.14633,12:da:43:90:f2:a0
23140,22,1,1,-67,561,3.417,608321294.8653749,a4:11:62:55:e2:f0
23141,22,1,2,-77,561,3.579,608321294.703338,78:d2:94:8:c5:49
23142,22,1,1,-75,561,3.548,608321294.734349,d8:d7:75:d5:e3:32
23143,22,1,11,-83,561,6.933,608321291.349302,10:da:43:eb:1f:54
23144,22,1,44,-84,561,5.12,608321295.6000069,34:fc:b9:32:d:f4
23145,22,1,44,-84,561,5.12,608321295.600019,34:fc:b9:32:d:f0
23146,22,1,44,-84,561,5.12,608321295.600015,34:fc:b9:32:d:f3
23147,22,1,1,-74,561,5.948,608321294.8674151,a0:4:60:3f:d2:94
23148,22,1,1,0,561,0.007,608321300.808431,f8:bb:bf:b3:13:b5
23149,22,1,1,-85,561,6.065,608321294.750399,80:2a:a8:44:bd:13
23150,22,1,1,-86,561,9.445,608321291.3703899,fe:ec:da:b7:a9:77
23151,22,1,1,0,561,0.022,608321300.7934351,2:54:af:f3:92:55
23152,22,1,1,0,561,5.908,608321294.907439,8:bd:43:d3:18:21
23153,22,1,1,-77,561,0.037,608321300.7784071,78:8a:20:b1:c7:35
23154,22,1,1,-75,561,6.072,608321294.743411,d8:d7:75:d5:e3:32
23155,22,1,1,-67,561,5.942,608321294.8734269,a4:11:62:55:e2:f0
23156,22,1,1,0,561,6.013,608321294.802443,82:2a:a8:44:bd:13
23157,22,1,1,-85,561,9.417,608321291.398394,78:71:9c:5e:ed:d0
23158,22,1,1,-82,561,5.902,608321294.913403,8a:8a:20:b1:c7:35
23159,22,1,1,-69,561,5.906,608321294.909419,a8:bd:27:c9:8e:22
