identifier,weight,labels,sourceNodeId,targetNodeId,attrIds
226,1.0,b'\x02\x02z\x01',134,44,b'\x02\x00'
227,1.0,b'\x02\x02z\x01',134,107,b'\x02\x00'
228,1.0,b'\x02\x02z\x01',135,15,b'\x02\x00'
229,1.0,b'\x02\x02z\x01',135,49,b'\x02\x00'
230,1.0,b'\x02\x02z\x01',135,121,b'\x02\x00'
231,1.0,b'\x02\x02z\x01',136,34,b'\x02\x00'
232,1.0,b'\x02\x02z\x01',137,93,b'\x02\x00'
233,1.0,b'\x02\x02z\x01',138,125,b'\x02\x00'
234,1.0,b'\x02\x02z\x01',139,60,b'\x02\x00'
235,1.0,b'\x02\x02z\x01',139,113,b'\x02\x00'
236,1.0,b'\x02\x02z\x01',140,103,b'\x02\x00'
237,1.0,b'\x02\x02z\x01',140,2,b'\x02\x00'
238,1.0,b'\x02\x02~\x01',141,142,b'\x02\x00'
239,1.0,b'\x02\x02z\x06',141,136,b'\x02\x00'
240,1.0,b'\x02\x02z\x06',141,134,b'\x02\x00'
241,1.0,b'\x02\x02z\x06',141,140,b'\x02\x00'
242,1.0,b'\x02\x02~\x01',143,142,b'\x02\x00'
243,1.0,b'\x02\x02z\x06',143,139,b'\x02\x00'
244,1.0,b'\x02\x02z\x06',143,137,b'\x02\x00'
245,1.0,b'\x02\x02z\x06',143,138,b'\x02\x00'
246,1.0,b'\x02\x02\x81\x01\x01',15,49,b'\x02\x00'
247,1.0,b'\x02\x02\x81\x01\x01',49,121,b'\x02\x00'
248,1.0,b'\x02\x02\x81\x01\x01',121,107,b'\x02\x00'
249,1.0,b'\x02\x02\x81\x01\x01',107,44,b'\x02\x00'
250,1.0,b'\x02\x02\x81\x01\x01',44,34,b'\x02\x00'
251,1.0,b'\x02\x02\x81\x01\x01',34,103,b'\x02\x00'
252,1.0,b'\x02\x02\x81\x01\x01',103,2,b'\x02\x00'
253,1.0,b'\x02\x02\x81\x01\x01',2,125,b'\x02\x00'
254,1.0,b'\x02\x02\x81\x01\x01',125,60,b'\x02\x00'
255,1.0,b'\x02\x02\x81\x01\x01',60,113,b'\x02\x00'
256,1.0,b'\x02\x02\x81\x01\x01',113,93,b'\x02\x00'
257,1.0,b'\x02\x02\x83\x01\x01',94,144,b'\x02\x00'
258,1.0,b'\x02\x02\x06\x06',146,6,b'\x02\x00'
259,1.0,b'\x02\x02\x06\x07',146,96,b'\x02\x00'
260,1.0,b'\x02\x02\x06\x08',146,97,b'\x02\x00'
261,1.0,b'\x02\x02\x06\t',146,147,b'\x02\x00'
262,1.0,b'\x02\x02\x06\n',146,63,b'\x02\x00'
263,1.0,b'\x02\x02\x06\x0c',146,9,b'\x02\x00'
264,1.0,b'\x02\x02\x06\x0e',146,10,b'\x02\x00'
266,1.0,b'\x02\x02\x06\x11',145,11,b'\x02\x00'
267,1.0,b'\x02\x02\x06\x18',145,33,b'\x02\x00'
268,1.0,b'\x02\x02z\x01',148,145,b'\x02\x00'
270,1.0,b'\x02\x02\x06\x0f',145,146,b'\x02\x00'
275,1.0,b'\x02\x02\x81\x01\x01',93,145,b'\x02\x00'
