Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
354,16002,,28.0,2,29.0,3,606966208.193482,,,,,
355,16002,,28.0,2,29.0,3,606966208.222987,,,,,
356,16002,,28.0,2,29.0,3,606966208.256416,,,,,
357,16002,,28.0,2,29.0,3,606966208.285592,,,,,
358,16002,,28.0,2,29.0,3,606966208.318389,,,,,
359,16002,,16.0,2,19.0,3,606978912.26711,,,,,
360,16002,,28.0,2,29.0,3,606981164.354832,,,,,
361,16002,,28.0,2,29.0,3,606981164.522581,,,,,
362,16002,,28.0,2,29.0,3,606981164.60439,,,,,
363,16002,,16.0,2,19.0,3,606989639.768054,,,,,
364,16002,,1.0,2,29.0,3,606994838.506059,,,,,
365,16002,,28.0,2,29.0,3,606995229.63955,,,,,
366,16002,,16.0,2,19.0,3,607053436.435376,,,,,
367,16002,,28.0,2,29.0,3,607053470.30739,,,,,
368,16002,,16.0,2,19.0,3,607056137.870779,,,,,
369,16002,,28.0,2,29.0,3,607057247.787641,,,,,
370,16002,,16.0,2,19.0,3,607058844.412005,,,,,
371,16002,,16.0,2,19.0,3,607066320.740752,,,,,
372,16002,,28.0,2,29.0,3,607068138.471879,,,,,
373,16002,,16.0,2,19.0,3,607076904.615373,,,,,
374,16002,,28.0,2,29.0,3,607082425.430489,,,,,
375,16002,,16.0,2,19.0,3,607223919.855919,,,,,
376,16002,,28.0,2,29.0,3,607224136.080989,,,,,
377,16002,,16.0,2,19.0,3,607226622.180643,,,,,
378,16002,,28.0,2,29.0,3,607238850.604983,,,,,
379,16002,,16.0,2,19.0,3,607247428.680174,,,,,
380,16002,,28.0,2,29.0,3,607253391.232293,,,,,
381,16002,,16.0,2,19.0,3,607316184.485709,,,,,
382,16002,,28.0,2,29.0,3,607316772.658513,,,,,
383,16002,,16.0,2,19.0,3,607318909.774785,,,,,
384,16002,,16.0,2,19.0,3,607321687.756071,,,,,
385,16002,,28.0,2,29.0,3,607331406.292037,,,,,
386,16002,,16.0,2,19.0,3,607339643.466285,,,,,
387,16002,,16.0,2,19.0,3,607528027.413528,,,,,
388,16002,,28.0,2,29.0,3,607528987.914786,,,,,
389,16002,,16.0,2,19.0,3,607530727.770539,,,,,
390,16002,,28.0,2,29.0,3,607633485.528776,,,,,
391,16002,,28.0,2,15.0,3,607779217.065639,,,,,
392,16002,,28.0,2,15.0,3,607779234.11824,,,,,
393,16002,,28.0,2,15.0,3,607779237.589213,,,,,
394,16002,,28.0,2,15.0,3,607779242.980639,,,,,
395,16002,,28.0,2,15.0,3,607779250.210657,,,,,
396,16002,,28.0,2,15.0,3,607779253.138081,,,,,
397,16002,,28.0,2,15.0,3,607779256.305094,,,,,
398,16002,,28.0,2,15.0,3,607779261.864493,,,,,
399,16002,,28.0,2,15.0,3,607779267.723882,,,,,
400,16002,,28.0,2,15.0,3,607779274.760647,,,,,
401,16002,,28.0,2,15.0,3,607779279.244548,,,,,
402,16002,,28.0,2,15.0,3,607779298.754823,,,,,
403,16002,,28.0,2,15.0,3,607779307.711471,,,,,
404,16002,,28.0,2,15.0,3,607779313.722781,,,,,
405,16002,,28.0,2,15.0,3,607779316.357171,,,,,
406,16002,,28.0,2,15.0,3,607779319.759608,,,,,
407,16002,,28.0,2,15.0,3,607779321.864076,,,,,
408,16002,,28.0,2,15.0,3,607779325.850805,,,,,
409,16002,,28.0,2,15.0,3,607779328.662306,,,,,
410,16002,,28.0,2,15.0,3,607779336.040171,,,,,
411,16002,,28.0,2,15.0,3,607779341.921884,,,,,
412,16002,,28.0,2,15.0,3,607779345.207923,,,,,
413,16002,,28.0,2,15.0,3,607779353.628043,,,,,
414,16002,,28.0,2,15.0,3,607779356.269853,,,,,
415,16002,,28.0,2,15.0,3,607779360.950295,,,,,
416,16002,,28.0,2,15.0,3,607779365.069279,,,,,
417,16002,,28.0,2,15.0,3,607779376.987514,,,,,
418,16002,,1.0,2,42.0,3,607806800.782108,,,,,
419,16002,,16.0,2,19.0,3,607806800.87495,,,,,
420,16002,,16.0,2,10.0,3,607806800.891084,,,,,
421,16002,,9.0,2,10.0,3,607806800.921351,,,,,
422,16002,,16.0,2,10.0,3,607806801.044156,,,,,
423,16002,,16.0,2,10.0,3,607806803.925397,,,,,
424,16002,,16.0,2,10.0,3,607806804.169146,,,,,
425,16002,,16.0,2,10.0,3,607806804.186775,,,,,
