ID,timestamp,Reason,TotalCount
3444,1586983270.004681,2.0,272
3445,1586984375.955142,2.0,336
3446,1586985010.844957,2.0,432
3447,1586985871.7487001,2.0,387
3448,1586986509.762366,1.0,461
3449,1586986916.278253,2.0,83
3450,1586987803.103259,1.0,461
3451,1586987817.427237,2.0,20
3452,1586988910.8038452,1.0,464
3453,1586989129.1916451,1.0,461
3454,1586989204.1704612,2.0,34
3455,1586989528.5542831,2.0,92
3456,1586989872.3399034,2.0,152
3457,1586990396.718123,2.0,209
3458,1586990591.01902,1.0,469
3459,1586991005.0441322,2.0,103
3460,1586991991.659937,2.0,281
3461,1586992846.7086842,2.0,356
3462,1586993977.950738,2.0,318
3463,1586995245.1309612,1.0,461
3464,1586995838.512535,2.0,73
3465,1586996263.3591082,2.0,143
3466,1586997035.2792401,2.0,298
3467,1586998311.8083801,1.0,461
3468,1586998318.9090042,2.0,16
3469,1586998622.654844,2.0,289
3470,1586998930.501173,2.0,337
3471,1586999323.8296132,2.0,355
3472,1586999650.2883122,2.0,65
3473,1587000011.9387221,2.0,93
3474,1587000350.665934,2.0,126
3475,1587000357.593835,4.0,42
3476,1587000698.2587192,2.0,145
3477,1587001017.9913173,2.0,227
3478,1587001331.174693,2.0,83
3479,1587001638.057941,2.0,138
3480,1587003453.765523,2.0,454
3481,1587005213.138816,2.0,412
3482,1587005541.444953,2.0,189
3483,1587005984.04562,2.0,106
3484,1587006808.1794453,2.0,325
3485,1587008954.1017442,2.0,328
3486,1587009338.3069892,2.0,84
3487,1587010614.122961,1.0,461
3488,1587011186.163253,2.0,436
3489,1587013043.702386,1.0,461
3490,1587013491.217578,2.0,106
3491,1587014940.9147582,1.0,461
3492,1587015414.1874561,2.0,124
3493,1587016665.2760081,1.0,461
3494,1587017304.0199702,2.0,166
3495,1587017684.54709,2.0,80
3496,1587017999.050157,2.0,116
3497,1587018436.1353781,2.0,49
3498,1587018878.5636473,2.0,150
3499,1587019510.1329212,2.0,158
3500,1587019839.089601,2.0,154
3501,1587020249.8496811,2.0,169
3502,1587020743.88871,2.0,154
3503,1587021410.590611,2.0,173
3504,1587021975.30007,2.0,266
3505,1587022739.4076653,2.0,205
3506,1587023618.75513,2.0,429
3507,1587024830.081952,1.0,465
3508,1587025598.843686,2.0,207
3509,1587027518.7482672,2.0,310
3510,1587029438.80077,2.0,400
3511,1587031324.118637,2.0,286
3512,1587033278.8386652,2.0,416
3513,1587034800.6316662,1.0,461
3514,1587035080.827507,2.0,88
3515,1587035752.977005,1.0,463
3516,1587036106.3031812,1.0,470
3517,1587036339.2475061,1.0,467
3518,1587036883.251584,2.0,431
3519,1587037387.722394,1.0,462
3520,1587037456.727509,2.0,45
3521,1587037690.102446,1.0,463
3522,1587037764.796416,2.0,83
3523,1587038072.2556343,2.0,275
3524,1587038379.8594422,2.0,227
3525,1587038652.6285253,1.0,464
3526,1587038687.234502,2.0,69
3527,1587038904.2818801,1.0,461
3528,1587038995.132976,2.0,327
3529,1587039123.288438,1.0,512
3530,1587039140.8365602,1.0,463
3531,1587039303.9457262,2.0,512
3532,1587039611.3604681,2.0,512
3533,1587041414.0471692,2.0,512
3534,1587042019.8682933,1.0,461
3535,1587042411.0322552,1.0,463
3536,1587043216.146038,2.0,252
3537,1587044034.7822843,1.0,461
3538,1587044117.4794352,2.0,82
3539,1587044424.6071682,2.0,219
3540,1587045438.1991062,1.0,461
3541,1587045540.763241,2.0,332
3542,1587045848.612255,2.0,137
3543,1587046156.3868592,2.0,34
3544,1587046464.248641,2.0,79
3545,1587046772.10849,2.0,24
3546,1587047080.0542622,2.0,145
3547,1587047387.9705431,2.0,240
3548,1587047695.8517652,2.0,134
3549,1587048003.7079542,2.0,140
3550,1587048311.5472102,2.0,122
3551,1587048620.130958,2.0,51
3552,1587048928.0101042,2.0,46
3553,1587049235.9122343,2.0,127
3554,1587049543.7416131,2.0,152
3555,1587049851.5291662,2.0,163
3556,1587050159.3424761,2.0,221
3557,1587050487.6602302,2.0,177
3558,1587050795.4228,2.0,76
3559,1587051307.593822,2.0,337
3560,1587051614.8813891,2.0,260
3561,1587051942.6448472,2.0,391
3562,1587052250.0059881,2.0,122
3563,1587052467.861581,4.0,512
3564,1587052501.882266,1.0,462
3565,1587052808.2717462,1.0,461
3566,1587053081.464673,2.0,207
3567,1587053552.9599633,2.0,438
3568,1587053860.475687,2.0,59
3569,1587054168.049904,2.0,40
3570,1587054475.8274941,2.0,66
3571,1587055142.2914953,2.0,142
3572,1587055450.274326,2.0,78
3573,1587057256.2602592,2.0,348
