ROWID,scope,conversation,newest_read_message,display_message,date,read,flagged,has_red_flag,has_orange_flag,has_yellow_flag,has_green_flag,has_blue_flag,has_purple_flag,has_gray_flag,draft,replied,forwarded,redirected,junk_level_set_by_user,junk_level,has_unflagged,has_attachments,count,journaled
196,1,-988821044973299305,219.0,219,1586438775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
198,1,-7233916946705371768,220.0,220,1586488374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
199,1,-2831221396874388855,221.0,221,1586553210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
202,1,5461373292082691286,222.0,222,1586671387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
204,1,-5727246641716001898,223.0,223,1586719409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
205,3,5461373292082691286,226.0,226,1586671387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
206,3,-988821044973299305,225.0,225,1586438775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
207,3,8152685341480264969,224.0,224,1586255641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
210,1,2534127399109977120,,233,1586851753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
211,1,8140192239618270505,,234,1586912041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
212,3,8140192239618270505,,236,1586912041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
213,3,2534127399109977120,,235,1586851753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
214,1,-3863628830003047948,,240,1586916233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
215,3,-3863628830003047948,,241,1586916233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
216,1,5920189952304018033,243.0,243,1587044124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
217,1,2489604442242670543,242.0,242,1587044055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
220,3,5920189952304018033,247.0,247,1587044124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
221,3,2489604442242670543,246.0,246,1587044055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
