ID,timestamp,timestampLogged,BBDate,ConnStates_0,ConnStates_1,ConnStates_2,LogDuration,SeqNum
26136,1586994820.6846652,1586994878.207088,1586994789.486,4148884,0,0,4148884.0,17
26137,1586994820.689665,1586994878.2098522,1586994789.491,178,0,0,178.0,18
26138,1586994859.021665,1586994878.212403,1586994827.823,1255902,0,0,1255902.0,19
26139,1586994859.024665,1586994878.2145972,1586994827.826,116,0,0,116.0,20
26140,1586994877.979665,1586995838.3642883,1586994846.781,621052,0,0,621052.0,32
26141,1586994938.0856652,1586995838.3699183,1586994906.887,1969163,0,0,1969163.0,39
26142,1586994938.090665,1586995838.3718572,1586994906.892,165,0,0,165.0,40
26143,1586995113.656665,1586995838.382842,1586995082.458,5752320,0,0,5752320.0,55
26144,1586995113.659665,1586995838.4017973,1586995082.461,101,0,0,101.0,56
26145,1586995235.0566652,1586995838.446453,1586995203.858,3977497,0,0,3977497.0,67
26146,1586995235.061665,1586995838.4542713,1586995203.863,162,0,0,162.0,68
26147,1586995655.7446651,1586995838.4611263,1586995624.546,13783467,0,0,13783467.0,80
26148,1586995838.0926652,1586995838.463119,1586995806.894,5974562,0,0,5974562.0,81
26149,1586995838.0996652,1586996342.208024,1586995806.901,230,0,0,230.0,82
26150,1586995855.8886652,1586996342.225174,1586995824.69,582850,0,0,582850.0,84
26151,1586995898.1906652,1586996342.231821,1586995866.992,1386009,0,0,1386009.0,88
26152,1586995949.5496652,1586996342.2351851,1586995918.351,1682727,0,0,1682727.0,93
26153,1586995949.554665,1586996342.2369342,1586995918.356,169,0,0,169.0,94
26154,1586996133.8256652,1586996342.2418733,1586996102.627,6037562,0,0,6037562.0,110
26155,1586996133.8296652,1586996342.2485561,1586996102.631,106,0,0,106.0,111
26156,1586996263.0366652,1586996342.256114,1586996231.838,4233424,0,0,4233424.0,143
26157,1586996263.0396652,1586996342.2610083,1586996231.841,100,0,0,100.0,144
26158,1586996341.8946652,1586996720.092585,1586996310.696,2583638,0,0,2583638.0,169
26159,1586996462.9646652,1586996720.097743,1586996431.766,3966690,0,0,3966690.0,193
26160,1586996462.9706652,1586996720.100377,1586996431.772,183,0,0,183.0,194
26161,1586996554.873665,1586996720.1042862,1586996523.675,3011147,0,0,3011147.0,208
26162,1586996554.876665,1586996720.107205,1586996523.678,88,0,0,88.0,209
26163,1586996685.0556653,1586996720.114008,1586996653.857,4265281,0,0,4265281.0,245
26164,1586996685.061665,1586996720.118957,1586996653.863,177,0,0,177.0,246
26165,1586996712.4576652,1586996720.1322002,1586996681.259,897622,0,0,897622.0,252
26166,1586996712.462665,1586996720.138004,1586996681.264,157,0,0,157.0,253
26167,1586996719.261665,1586997195.0886703,1586996688.063,222781,0,0,222781.0,255
26168,1586996719.969665,1586997195.09169,1586996688.771,23193,0,0,23193.0,0
26169,1586996724.0436652,1586997195.095942,1586996692.845,133472,0,0,133472.0,2
26170,1586996798.110665,1586997195.101818,1586996766.912,2426778,0,0,2426778.0,21
26171,1586996857.9256651,1586997195.1065621,1586996826.727,1959825,0,0,1959825.0,35
26172,1586996857.9316652,1586997195.109635,1586996826.733,173,0,0,173.0,36
26173,1586997035.150665,1586997195.121838,1586997003.952,5806509,0,0,5806509.0,81
26174,1586997035.1556652,1586997195.2119892,1586997003.957,169,0,0,169.0,82
26175,1586997041.926665,1586997195.234231,1586997010.728,221824,0,0,221824.0,85
26176,1586997194.9406652,1586997758.002192,1586997163.742,5013443,0,0,5013443.0,118
26177,1586997283.314665,1586997758.0070453,1586997252.116,2895529,0,0,2895529.0,142
26178,1586997283.318665,1586997758.009766,1586997252.12,108,0,0,108.0,143
26179,1586997313.8566651,1586997758.0145903,1586997282.658,1000600,0,0,1000600.0,163
26180,1586997313.8616652,1586997758.0441313,1586997282.663,164,0,0,164.0,164
26181,1586997507.873665,1586997758.057758,1586997476.675,6356697,0,0,6356697.0,214
26182,1586997507.8896651,1586997758.0623832,1586997476.691,517,0,0,517.0,215
