event_id,module_id,sample_rate
1,318,0
2,318,0
1,319,10
2,319,0
1,320,1000
2,320,1000
3,320,1000
7,325,0
8,325,0
15,325,100
17,325,0
7,326,10000
12,326,100000
1,332,0
2,332,0
3,332,0
4,332,0
4,334,0
1,336,1
1,337,100
2,338,0
4,338,0
5,338,0
8,338,10
10,338,0
11,338,0
1,341,0
2,341,0
5,341,50
7,341,1
1,343,0
2,343,1
1,349,10000
3,349,100
5,349,100000
1,354,0
2,354,0
2,357,0
3,357,1
1,358,1
4,358,0
5,358,0
1,360,1
3,360,1
4,360,1
5,360,1
6,360,1
7,360,1
8,360,1
9,360,1
10,360,0
12,360,1
13,360,1
14,360,1
15,360,1
24,360,1
2,363,0
1,372,0
2,373,0
1,374,1000
1,376,0
7,376,1000
4,383,1
1,385,0
1,388,0
2,388,0
5,391,0
1,397,1
1,407,1
16,408,1
2,409,0
4,409,1234
8,409,0
9,409,0
10,409,0
12,409,0
1,418,1
4,418,1
1,420,1
1,421,0
1,422,1
2,422,1
3,422,1
4,422,1
5,422,1
6,422,1
8,422,1
9,422,1
6,424,100000
1,430,100000
5,430,0
1,431,1
3,431,500
1,434,100
2,434,1000
1,435,0
2,435,0
3,435,0
4,435,0
1,446,0
1,448,0
1,452,1
1,458,0
3,462,10
4,462,1
4,465,10
5,465,1
10,465,200
1,466,1
2,466,1
5,466,1
6,466,1
7,466,1
12,466,10
13,466,1
14,466,1
15,466,1
17,466,1
18,466,1
19,466,1
20,466,1
23,466,100
24,466,1
1,470,0
2,470,0
1,472,1
2,472,1
1,473,1
3,473,1
1,474,1
1,476,1
1,481,0
1,482,0
2,482,0
3,482,0
4,482,0
17,483,0
23,483,0
1,484,0
2,484,0
3,484,1
1,491,1
2,491,1
2,493,1
1,500,0
2,500,0
1,502,25
1,505,1
2,505,50
1,517,0
2,517,3
1,521,0
2,521,0
3,521,0
2,522,1800
3,522,10
8,522,0
10,522,0
1,523,1000
4,523,0
5,523,100
6,523,100
1,526,0
2,526,0
3,526,0
4,526,0
5,526,0
6,526,0
7,526,0
8,526,0
9,526,0
10,526,0
2,531,0
3,531,0
1,545,1000
2,545,1000
3,545,5000
4,545,1000
7,545,1000
8,545,1000
10,545,5
11,545,1
1,548,10
2,548,0
6,553,0
3,559,100
2,560,10
1,562,0
3,562,0
4,562,0
