ID,timestamp,Brightness,SliderValue,lux,iDAC,mNits,uAmps
4030,1586891527.9943242,0.0,0.0,0,0.0,0.0,0.0
4031,1586896287.2243624,30.9478759765625,20282.0,-1,1289.0,83527.0,2523.0
4032,1586896287.789628,0.0,0.0,0,0.0,0.0,0.0
4033,1586896288.0448194,34.33990478515625,22505.0,40,1348.0,99483.0,3016.0
4034,1586896289.3836083,34.94415283203125,22901.0,52,1357.0,102165.0,3099.0
4035,1586896294.1511612,35.94970703125,23560.0,118,1373.0,107103.0,3253.0
4036,1586896295.40206,36.0504150390625,23626.0,134,1374.0,107413.0,3263.0
4037,1586896296.4372122,36.25030517578125,23757.0,148,1377.0,108387.0,3293.0
4038,1586896297.4681342,36.4715576171875,23902.0,153,1380.0,109334.0,3322.0
4039,1586896298.499267,36.71417236328125,24061.0,56,1384.0,110635.0,3363.0
