item_artist_pid,item_artist,sort_item_artist,series_name,sort_series_name,grouping_key,cloud_status,store_id,representative_item_pid,keep_local,keep_local_status,app_data,sync_id
6649943280756332819,Plump DJs,Plump DJs,,,b'H@RBH\x040<N',0,31464235,8877232900939930954,0,0,,0
6793961165150742226,Drake,Drake,,,b'0L*>2',0,271256,8877232900939930946,0,0,,0
7153037178987511034,Talib Kweli,Talib Kweli,,,"b'P*@:,\x04>V2@:'",0,69378,8877232900939930966,0,0,,0
7299967692881495725,The Darkness,Darkness,,,b'P82\x040*L>D2NN',0,2417388,8877232900939931057,0,0,,0
7440053483275592588,Eminem,Eminem,,,b'2B:D2B',0,111051,8877232900939931029,0,0,,0
7656446282540616219,LMFAO,LMFAO,,,b'@B4*F',0,284482668,8877232900939930949,0,0,,0
7657354201932466964,America's favorite Apple Podcast,,The CultCast,CultCast,b'P82\x04.R@P.*NP',0,0,3431630958729038012,0,0,,0
7803698162868524193,Calvin Harris,Calvin Harris,,,b'.*@T:D\x048*LL:N',0,201955086,8877232900939931014,0,0,,0
7874871231798113398,DJ Shadow,DJ Shadow,,,b'0<\x04N8*0FV',0,133086,8877232900939930947,0,0,,0
8019581199723849551,Pete Rock & Pete Rock & C.L. Smooth,Pete Rock & Pete Rock & C.L. Smooth,,,b'H2P2\x04LF.>\x04\n\x90\x04H2P2\x04LF.>\x04\n\x90\x04.\x08@\x08\x04NBFFP8',0,3450395,1605611714792925287,0,0,,0
8377746997830503425,Beck,Beck,,,"b',2.>'",0,312095,8877232900939931017,0,0,,0
8451374234440292737,Van Halen,Van Halen,,,b'T*D\x048*@2D',0,166529,8877232900939930987,0,0,,0
8451581751552816424,Black Star,Black Star,,,"b',@*.>\x04NP*L'",0,328686,8877232900939931035,0,0,,0
8451799933367933234,dj honda,dj honda,,,b'0<\x048FD0*',0,13759347,8877232900939931011,0,0,,0
8521405002200643083,Eric Prydz,Eric Prydz,,,b'2L:.\x04HLZ0\\',0,27065447,8877232900939930948,0,0,,0
8737686907004165052,The Chainsmokers,Chainsmokers,,,b'P82\x04.8*:DNBF>2LN',0,580391756,8877232900939930996,0,0,,0
8883001043601265026,Orbital,Orbital,,,"b'FL,:P*@'",0,724648,8877232900939931076,0,0,,0
