composer_pid,composer,sort_composer,grouping_key,cloud_status,representative_item_pid,keep_local,keep_local_status,sync_id
-1348801489680375775,"Anthony Kiedis, Flea, John Frusciante, Flea, Kiedis, SMITH & Chad Smith",,b'*DP8FDZ\x04>:20:N\x06\x044@2*\x06\x04<F8D\x044LRN.:*DP2\x06\x044@2*\x06\x04>:20:N\x06\x04NB:P8\x04\n\x90\x04.8*0\x04NB:P8',0,1359453492144287597,0,0,0
-916131703176607623,"Chris Martin, Guy Berryman, Will Champion & Jonny Buckland",,"b'.8L:N\x04B*LP:D\x06\x046RZ\x04,2LLZB*D\x06\x04V:@@\x04.8*BH:FD\x04\n\x90\x04<FDDZ\x04,R.>@*D0'",0,8877232900939931013,0,0,0
-846265946406003652,"Max Martin, Shellback, Savan Kotecha & Armando Pérez",,"b'B*X\x04B*LP:D\x06\x04N82@@,*.>\x06\x04N*T*D\x04>FP2.8*\x04\n\x90\x04*LB*D0F\x04H2L2\\'",0,8877232900939930956,0,0,0
-699611720604447546,"Stefan Kendal Gordy, Skyler Gordy, Jamahl Listenbee & Peter Schroeder",,"b'NP24*D\x04>2D0*@\x046FL0Z\x06\x04N>Z@2L\x046FL0Z\x06\x04<*B*8@\x04@:NP2D,22\x04\n\x90\x04H2P2L\x04N.8LF202L'",0,8877232900939930949,0,0,0
-484694523350583354,"D. Marouani, J. Smith, P. Greedus & T. K. Greene",,b'0\x08\x04B*LFR*D:\x06\x04<\x08\x04NB:P8\x06\x04H\x08\x046L220RN\x04\n\x90\x04P\x08\x04>\x08\x046L22D2',0,8877232900939930967,0,0,0
-414229407204752193,Jack Steadman & James Brown,,"b'<*.>\x04NP2*0B*D\x04\n\x90\x04<*B2N\x04,LFVD'",0,8877232900939931064,0,0,0
-269116213445079557,"Maurice White, Albert McKay & Allee Willis",,"b'B*RL:.2\x04V8:P2\x06\x04*@,2LP\x04B.>*Z\x04\n\x90\x04*@@22\x04V:@@:N'",0,8877232900939931073,0,0,0
-266382237554456154,"Beck Hansen, Greg Kurstin & Andrew Wyatt",,"b',2.>\x048*DN2D\x06\x046L26\x04>RLNP:D\x04\n\x90\x04*D0L2V\x04VZ*PP'",0,8877232900939931017,0,0,0
-52688126541208130,"Caleb Followill, Nathan Followill, Jared Followill & Matthew Followill",,"b'.*@2,\x044F@@FV:@@\x06\x04D*P8*D\x044F@@FV:@@\x06\x04<*L20\x044F@@FV:@@\x04\n\x90\x04B*PP82V\x044F@@FV:@@'",0,8877232900939931026,0,0,0
-50770831684987164,"Kanye West, Jeff Bhasker, Malik Jones & Warren Trotter",,"b'>*DZ2\x04V2NP\x06\x04<244\x04,8*N>2L\x06\x04B*@:>\x04<FD2N\x04\n\x90\x04V*LL2D\x04PLFPP2L'",0,8877232900939930963,0,0,0
-50674447778084780,Chris D'Abaldo & Josey Scott,,"b'.8L:N\x040\tj*,*@0F\x04\n\x90\x04<FN2Z\x04N.FPP'",0,8877232900939931022,0,0,0
20934063671946838,"Alicia Keys, Shawn Carter, Al Shuckburgh, J. Sewell-Ulepic, A. Hunte, Bobby B. Keyes & Sylvia Robinson",,"b'*@:.:*\x04>2ZN\x06\x04N8*VD\x04.*LP2L\x06\x04*@\x04N8R.>,RL68\x06\x04<\x08\x04N2V2@@\x05\x0eR@2H:.\x06\x04*\x08\x048RDP2\x06\x04,F,,Z\x04,\x08\x04>2Z2N\x04\n\x90\x04NZ@T:*\x04LF,:DNFD'",0,8877232900939930945,0,0,0
237707674424480104,Dave Grohl,,b'0*T2\x046LF8@',0,4334992639745348083,0,0,0
309374378338132530,Junior,,b'<RD:FL',0,8877232900939930961,0,0,0
