sid,nid,bandclass,channel,numpoints,id
14218,1,0,242,7,979
14214,1,0,283,8,980
14227,18,0,283,7,981
14214,1,0,283,9,982
14227,18,0,283,8,983
14219,1,0,283,9,984
14227,18,0,283,8,985
14219,1,0,283,11,986
14209,2,0,283,9,987
14219,1,0,283,8,988
14209,2,0,242,7,989
14209,2,0,283,9,990
14210,2,0,283,9,991
14209,2,0,242,8,992
14210,2,0,283,9,993
14209,2,0,283,7,994
14208,5,0,283,9,995
14210,2,0,283,8,996
14196,96,0,283,8,997
14210,2,0,283,6,998
14196,96,0,283,9,999
14197,97,0,283,8,1000
14197,97,0,283,10,1001
14197,97,0,283,9,1002
14197,97,0,283,10,1003
14143,708,0,283,9,1004
14143,708,0,242,8,1005
14143,708,0,283,8,1006
14143,708,0,242,7,1007
14143,708,0,283,10,1008
14143,708,0,242,9,1009
14143,708,0,283,9,1010
14143,708,0,242,8,1011
14144,509,0,283,7,1012
14136,101,0,283,9,1013
14136,1001,0,283,8,1014
14136,101,0,242,7,1015
14138,503,0,283,6,1016
14144,509,0,283,6,1017
14136,1001,0,283,12,1018
14136,1001,0,242,12,1019
14136,101,0,283,10,1020
14136,1001,0,283,9,1021
14136,101,0,242,8,1022
12343,29522,0,40,7,1023
12343,29302,0,81,7,1024
12343,29523,0,40,7,1025
12343,29520,0,81,7,1026
12343,29520,0,40,7,1027
12343,29523,0,81,7,1028
12343,29518,0,81,7,1029
12343,29518,0,40,7,1030
12343,29309,0,40,7,1031
12343,29310,0,81,7,1032
12343,29522,0,81,7,1033
12343,29302,0,40,7,1034
12343,29519,0,81,7,1035
12343,29517,0,81,7,1036
12343,29310,0,40,7,1037
12343,29309,0,81,7,1038
12343,29313,0,40,7,1039
12343,29301,0,81,7,1040
12343,29312,0,40,7,1041
12343,29519,0,40,7,1042
12343,29301,0,40,6,1043
12343,29313,0,81,6,1044
12343,29312,0,81,6,1045
12343,29517,0,40,6,1046
12343,29314,0,40,5,1047
14268,1,0,283,6,1048
14268,1,0,283,6,1049
14260,1,0,283,6,1050
14260,1,0,283,7,1051
4152,3,1,425,10,1052
22417,305,10,476,9,1053
4151,305,1,25,8,1054
4151,305,1,50,8,1055
22417,305,10,476,7,1056
4151,305,1,50,6,1057
4151,305,1,25,6,1058
22417,305,10,476,6,1059
4151,305,1,25,6,1060
