item_pid,media_type,title_order,title_order_section,item_artist_pid,item_artist_order,item_artist_order_section,series_name_order,series_name_order_section,album_pid,album_order,album_order_section,album_artist_pid,album_artist_order,album_artist_order_section,composer_pid,composer_order,composer_order_section,genre_id,genre_order,genre_order_section,disc_number,track_number,episode_sort_id,base_location_id,remote_location_id,exclude_from_shuffle,keep_local,keep_local_status,in_my_library,is_compilation,date_added,show_composer,is_music_show,date_downloaded,download_source_container_pid
8877232900939931017,8,3968991713,3,8377746997830503425,3889608759,1,0,27,-4085407640876751661,3923061148,2,-5889952695185321702,3889608759,1,-266382237554456154,3889754382,1,-8050334969916582895,3865470566,0,1,11,11,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931018,8,3872120351,0,-2211988359880043288,3190184511089763624,19,0,27,-5167061996635449597,4210579880,12,-124143304545748601,3190184511089763624,19,5711516559433930689,4134199555,9,2111966536109256348,4076390828,7,1,3,3,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931019,8,4181128702002263836,24,597740005727627626,4076088110,7,0,27,-3798273578451745872,5861470309421808642,26,-701300103472498916,4076088110,7,0,0,27,2111966536109256348,4076390828,7,1,2,2,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931020,8,4291112417,15,4992406767707211266,4208098613,12,0,27,-5382387732180701630,4277077359,14,-3725530826037350616,4208098613,12,-4088390607145302477,3450744227,0,-5024278388930694182,46568994131859416,15,1,2,2,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931021,8,3971915961,3,-2139262550811742936,442753981205787851,17,0,27,-7544214921200209512,3897342205,1,3622381254735005190,442753981205787851,17,4702953401684166401,3921863142,2,2111966536109256348,4076390828,7,1,2,2,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931022,8,801177676179064549,18,3550636864604579125,675533098509565557,18,0,27,-3004057524888384793,3888591177,1,-1132639252615808314,675533098509565557,18,-50674447778084780,3922079927,2,8160736743350596435,465689902663892224,17,1,1,1,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931023,8,4213753496,12,1820999809132358006,776095760919704032,18,0,27,2902125539407008128,4213678317,12,-1635719693565585206,776095760919704032,18,-7834288456601056626,3892168843,1,8089479700516397825,3991967719,4,1,2,2,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931024,8,3853281982248589579,22,19521640169017066,4212297317,12,0,27,-6827413499642332331,3993683795,4,2253770807048711426,4212297317,12,4486043318710035823,4205964210,12,-8050334969916582895,3865470566,0,1,15,15,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931025,8,3870648994,0,-6031653253235806004,4185745147,11,0,27,6146932739638079655,3870660306,0,-4085500989884179234,4185745147,11,450407153202121929,4185830523,11,-5024278388930694182,46568994131859416,15,1,1,1,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931026,8,3408028931204186785,20,1243346240238451156,4158779353,10,0,27,-486306197030665214,4268548915,14,-1997699590940040715,4158779353,10,-52688126541208130,3917192767,2,-8050334969916582895,3865470566,0,1,4,4,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931027,8,3867654694,0,4991573655022523261,4157814566,10,0,27,-8123475510356265662,4054981993,6,-9203764736849277708,4157774522,10,0,0,27,-2719246062502823582,3962699720,3,1,1,1,0,50,0,-1,0,0,1,0,0,0,0.0,0
8877232900939931028,8,4244784480,13,-8626313782604318604,4133909109,9,0,27,3334887804892503233,3964761534,3,-4230190234083603936,3539807982528258892,21,0,0,27,-2719246062502823582,3962699720,3,1,22,22,0,50,0,-1,0,0,1,0,0,0,0.0,0
8877232900939931029,8,3067287999879430744,19,7440053483275592588,3992133193,4,0,27,3551901619682714331,3992135031,4,1390840859133449002,3992133193,4,-6680128486960023700,4208109947,12,2111966536109256348,4076390828,7,1,18,18,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931030,8,4054263764,6,6577403789595358758,4157482143,10,0,27,7513529165276942931,4054943608,6,-918064615598628735,4157482143,10,-8627252809988268597,4157678606,10,2111966536109256348,4076390828,7,1,5,5,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931031,8,4022370202,5,6577403789595358758,4157482143,10,0,27,7513529165276942931,4054943608,6,-918064615598628735,4157482143,10,-3726425487385478796,4157589644,10,2111966536109256348,4076390828,7,1,9,9,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931033,8,5693771897360885824,26,-2211988359880043288,3190184511089763624,19,0,27,9100139829282739223,3889092110,1,-124143304545748601,3190184511089763624,19,8666111246287566863,4157220908,10,2111966536109256348,4076390828,7,1,7,7,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931034,8,4022381018,5,3548921792283213149,3931375148,2,0,27,-6034643974505771060,94931355767370602,15,3408514511500841132,3931375148,2,1101908937896059111,3931375148,2,2111966536109256348,4076390828,7,1,5,5,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931035,8,3963967891,3,8451581751552816424,3897051404,1,0,27,2976244748889807594,4212219801,12,7224168053456089654,3897051404,1,-7400715086873785167,897519864860009646,19,2111966536109256348,4076390828,7,1,3,3,0,50,0,-1,0,0,0,0,0,0,0.0,0
