Uuid,Name,NameOrigin,Address,ResolvedAddress,LastSeenTime,LastConnectionTime,GATTServiceChangeConfig,Tags,iCloudIdentifier
C5A49FBA-37A2-4A7E-65CB-4426BF78022F,,0,Random FE:34:6E:5A:46:D7,,844236,0,0,,
FDF3B399-C44D-2D19-A51D-E76FC723D54F,,0,Random E4:B4:6B:1F:6A:95,,843881,0,0,,
EF9790F9-956D-3065-C479-9719B17F73B7,,0,Public 68:27:37:29:72:E6,,851502,0,0,,
32693874-01BB-03BA-9AC1-EFAD3770B292,,0,Public 78:9F:70:5B:89:2D,,851717,0,0,,
1F1C7282-DEB9-E5D7-B209-5177E1B3B61E,,0,Public AC:BC:32:75:4D:1A,,891972,0,0,,
2639269A-0D9D-634B-4957-CB879B893C44,Aug,1,Public 78:9C:85:00:51:F8,,891913,0,0,,
3ACC9997-2929-DEA6-E077-89D5878CF4F7,,0,Public D0:03:4B:EC:36:66,,891874,0,0,,
4B401DC3-45B3-0257-10E9-7716F6BD7A3D,LG webOS TV,2,Public A0:6F:AA:3D:6E:D7,,891292,216,0,,
8697B29F-899B-17DA-4AB1-E49481102826,,0,Public D8:E0:E1:31:E0:E7,,889815,0,0,,
9B3728F8-A458-61C4-8EEA-8AC7EDF1D149,,0,Random EE:8C:41:34:7B:4E,,889978,0,0,,
C9C3EBC4-632C-C716-BEC9-CEB370144E9D,,0,Public F0:18:98:86:3F:52,,872652,0,0,,
E1DF27E2-DA99-A6D7-78F8-5CAEFB839F03,[TV] Spanky,1,Public 64:1C:B0:AE:6C:B3,,891787,0,0,,
E461ED5D-0435-5DED-D514-B1C3B335CD7E,PR BT FD84,1,Public 00:1F:FF:73:EF:D1,,891600,0,0,,
E5D0E147-763B-F89E-D82B-8353B027F1C4,,0,Public 50:DE:06:6D:02:F0,,891918,0,0,,
F15DB295-0B42-878B-EBF4-FFBC7070141F,[TV] Samsung 7 Series (75),1,Public B8:BC:5B:4C:ED:ED,,891141,0,0,,
E2EB37C9-61D5-E7D1-EC98-DA233A9670C9,,0,Public 7C:64:56:D9:A5:C2,,892540,0,0,,
1E8741B3-D89B-DB06-B93E-9016BB751217,,0,Public D0:03:4B:04:A7:1D,,896360,0,0,,
42004563-1678-4B78-98FD-EBCBED0E1DB5,,0,Public D0:03:4B:35:34:64,,896378,0,0,,
51D12884-7045-82A1-D005-07479CAC4DA3,,0,Public C8:D0:83:CC:D0:0F,,896399,0,0,,
