ID,timestamp,activeBand,airplaneMode,callStatus,campedRat,currentRat,dataStatus,preferredRat,signalBars,signalStrength,simStatus,subsId
44696,1586839748.0019822,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44697,1586839756.014699,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44698,1586839887.6508741,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44699,1586839887.67806,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44700,1586839892.329278,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44701,1586840156.823558,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44702,1586840156.8453202,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44703,1586840173.923605,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44704,1586840200.671051,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44705,1586840200.692398,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44706,1586840216.6678853,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44707,1586840231.681579,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44708,1586840366.0723982,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44709,1586840366.1228313,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44710,1586840369.158329,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44711,1586840471.35486,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44712,1586840471.384632,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44713,1586840483.3755713,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44714,1586840593.6318283,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44715,1586840593.677864,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44716,1586840597.1206703,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44717,1586840659.1366253,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44718,1586840659.1797562,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44719,1586840661.9099622,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44720,1586840814.027372,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44721,1586840814.0410151,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44722,1586840820.774357,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44723,1586841073.081501,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44724,1586841073.1140933,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44725,1586841073.1906881,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44726,1586841076.4636252,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44727,1586841116.774661,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44728,1586841116.810045,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44729,1586841118.381299,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44730,1586841128.842616,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44731,1586841134.647039,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44732,1586841176.836697,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44733,1586841176.8376262,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44734,1586841204.6894312,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44735,1586841220.093182,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44736,1586841220.1452281,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44737,1586841235.9521792,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44738,1586841357.7682343,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44739,1586841357.835403,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44740,1586841360.877449,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44741,1586841679.28337,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44742,1586841679.315771,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44743,1586841690.350732,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44744,1586841722.0742862,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44745,1586841722.1194851,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44746,1586841730.4159532,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44747,1586841861.18434,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44748,1586841861.2306552,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44749,1586841864.254303,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44750,1586842076.849073,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44751,1586842076.8857932,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44752,1586842094.6756392,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44753,1586842136.906695,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44754,1586842136.932569,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44755,1586842148.684173,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44756,1586842240.2188191,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44757,1586842240.2683163,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44758,1586842250.3137183,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44759,1586842379.4098172,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44760,1586842379.4128942,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44761,1586842379.492124,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44762,1586842390.140544,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44763,1586842393.9672823,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44764,1586842418.224628,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44765,1586842418.230575,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44766,1586842448.40383,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44767,1586843025.7428832,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44768,1586843025.7739472,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44769,1586843030.530693,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44770,1586843036.773255,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44771,1586843036.818715,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44772,1586843053.6576831,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44773,1586843097.0242682,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44774,1586843097.057409,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44775,1586843108.90862,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44776,1586843181.444076,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44777,1586843181.46947,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44778,1586843195.513721,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44779,1586843265.067676,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44780,1586843265.0887923,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44781,1586843275.9702,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44782,1586843295.282226,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44783,1586843295.341249,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44784,1586843304.4939733,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44785,1586843603.1820903,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44786,1586843603.191371,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44787,1586843613.9339871,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44788,1586843996.9420521,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44789,1586843996.9602082,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44790,1586843997.05661,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44791,1586844012.7542763,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44792,1586844013.7663941,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44793,1586844056.9717512,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44794,1586844057.0053973,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44795,1586844068.8395932,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44796,1586844285.1921632,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44797,1586844285.2172682,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44798,1586844301.102229,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44799,1586844301.5517092,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44800,1586844383.3451872,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44801,1586844383.36139,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44802,1586844392.387835,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
